name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Tomahawk	axe		7ha	hax	7ha	100		1	1	54	108	0	0	0	0	0	0	0	0	85	50	85	51	33	0	54	45	28066	1763510	0	328		hax	9ha	7ha	1hs	1hs	5	1hsl	1	3	0	0	0	0	flphax	invtmhk	invhaxu	invhaxu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			5	2	0	xxx	xxx	1	0
Small Crescent	axe		7ax	axe	7ax	100		1	1	62	120	0	0	0	0	0	0	1	10	90	55	99	59	28	0	61	49	31562	2230234	0	328		axe	9ax	7ax	1hs	1hs	5	1hsl	2	3	0	0	0	0	flpaxe	invscres	invaxeu	invaxeu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			5	2	0	xxx	xxx	1	0
Ettin Axe	axe		72a	axe	72a	100		1	1	62	132	0	0	0	0	0	0	1	10	95	60	114	68	28	0	70	58	26992	2200172	0	328		2ax	92a	72a	1hs	1hs	5	1hsl	2	3	0	0	0	0	flp2ax	invetnx			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			5	2	0	xxx	xxx	1	0
War Spike	axe		7mp	axe	7mp	100		1	1	62	120	0	0	0	0	0	0	1	-10	100	65	130	78	31	0	79	66	32216	2944550	0	328		mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3	0	0	0	0	flpmpi	invwspk	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Berserker Axe	axe		7wa	hax	7wa	100		1	1	60	156	0	0	0	0	0	0	2	0	105	70	150	90	31	0	86	72	31914	3175874	0	328		wax	9wa	7wa	1hs	1hs	5	1hsl	2	3	0	0	0	0	flpwax	invbrsk			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Large Axe	axe		lax	lax	lax	0		1	1	0	0	0	1	8	20	0	0	1	-10	35	0	5	0	36	0	6	0	708	17076	0	319		lax	9la	7la	stf	stf	5	2hsl	2	3	0	0	0	0	flplax	invlax			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	1	1	1	1	20	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	btx	gax	1	0
Broad Axe 	axe		bax	lax	bax	0		1	1	0	0	0	1	14	31	0	0	1	0	40	0	10	0	42	0	12	0	1612	40704	0	319		bax	9ba	7ba	stf	stf	5	2hsl	2	3	0	0	0	0	flpbrx	invbrx			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	gax	gix	1	0
Battle Axe	axe		btx	btx	btx	0		1	1	0	0	0	1	19	53	0	0	1	10	45	0	16	0	48	0	17	0	2524	72696	0	319		btx	9bt	7bt	stf	stf	5	2hsl	2	3	0	0	0	0	flpbtx	invbtx	invbtxu	invbtxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	1	1	0	1	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	2	0	gix	xxx	1	0
Great Axe	axe		gax	btx	gax	0		1	1	0	0	0	1	18	66	0	0	2	-10	50	0	22	0	60	0	23	0	3832	130072	0	319		gax	9ga	7ga	stf	stf	5	2hsl	2	4	0	0	0	0	flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx	1	0
Giant Axe	axe		gix	gix	gix	0		1	1	0	0	0	1	33	80	0	0	3	10	55	0	29	0	60	0	27	0	4820	181596	0	319		gix	9gi	7gi	stf	stf	5	2hsl	2	3	0	0	0	0	flpgix	invgix			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	0	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	2	2	20	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	0	255			2	2	0	xxx	xxx	1	0
Military Axe	axe		9la	lax	9la	0		1	1	0	0	0	1	28	70	0	0	1	-10	60	25	37	18	36	0	34	24	2724	147408	0	320		lax	9la	7la	stf	stf	5	2hsl	2	3	0	0	0	0	flplax	invmilx			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Bearded Axe 	axe		9ba	lax	9ba	0		1	1	0	0	0	1	38	98	0	0	1	0	65	30	46	23	42	0	38	27	5436	279514	0	320		bax	9ba	7ba	stf	stf	5	2hsl	2	3	0	0	0	0	flpbrx	invberd			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Tabar	axe		9bt	btx	9bt	0		1	1	0	0	0	1	46	140	0	0	1	10	70	35	56	28	48	0	42	27	8172	437048	0	320		btx	9bt	7bt	stf	stf	5	2hsl	2	3	0	0	0	0	flpbtx	invtaba	inv9btu	inv9btu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			5	2	0	xxx	xxx	1	0
Gothic Axe	axe		9ga	btx	9ga	0		1	1	0	0	0	1	44	140	0	0	2	-10	75	40	67	33	60	0	46	27	12096	680304	0	320		gax	9ga	7ga	stf	stf	5	2hsl	2	4	0	0	0	0	flpgax	invgotx	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Ancient Axe	axe		9gi	gix	9gi	0		1	1	0	0	0	1	76	167	0	0	3	10	80	45	79	39	60	0	51	27	15060	922946	0	320		gix	9gi	7gi	stf	stf	5	2hsl	2	3	0	0	0	0	flpgix	invancx	inv9giu	inv9giu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Feral Axe	axe		7la	lax	7la	100		1	1	0	0	0	1	64	228	0	0	2	-15	85	50	92	46	36	0	57	46	34860	2294902	0	321		lax	9la	7la	stf	stf	5	2hsl	2	3	0	0	0	0	flplax	invferal			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Silver Edged Axe	axe		7ba	lax	7ba	100		1	1	0	0	0	1	112	234	0	0	2	0	90	55	106	53	42	0	65	54	37912	2838392	0	321		bax	9ba	7ba	stf	stf	5	2hsl	2	3	0	0	0	0	flpbrx	invsilvr			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Decapitator	axe		7bt	btx	7bt	100		1	1	0	0	0	1	105	280	0	0	2	10	95	60	121	60	48	0	73	60	32754	2765326	0	321		btx	9bt	7bt	stf	stf	5	2hsl	2	3	0	0	0	0	flpbtx	invbtx	invbtxu	invbtxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			5	2	0	xxx	xxx	1	0
Champion Axe	axe		7ga	btx	7ga	100		1	1	0	0	0	1	123	246	0	0	2	-10	100	65	137	68	60	0	82	67	38490	3632360	0	321		gax	9ga	7ga	stf	stf	5	2hsl	2	4	0	0	0	0	flpgax	invchmx	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Glorious Axe	axe		7gi	gix	7gi	100		1	1	0	0	0	1	136	302	0	0	3	10	105	70	160	80	60	0	88	73	36862	3737278	0	321		gix	9gi	7gi	stf	stf	5	2hsl	2	3	0	0	0	0	flpgix	invglorx			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	20			2	2	0	xxx	xxx	1	0
Wand	wand		wnd	wnd	wnd	0		1	1	3	6	0	0	0	0	0	0	0	0	0	0	1	1	18	0	2	0	410	8758	1	328		wnd	9wn	7wn	1hs	1hs	5	1hss	1	2	0	0	0	0	flpwnd	invwnd	invwndu	invwndu	1	2	0		0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5	4	6	7	9	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	1	2	1	0	0	0	0	0	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	ywn	bwn	1	0
Yew Wand	wand		ywn	ywn	ywn	0		1	1	3	12	0	0	0	0	0	0	0	10	0	0	2	2	18	0	12	0	1490	39064	1	328		ywn	9yw	7yw	1hs	1hs	5	1hss	1	2	0	0	0	0	flpywn	invywn			1	2	0		0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	3	5	5	9	1	0	0	0	0	0	0	0	0	0	255	2	3	2	3	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	bwn	gwn	1	0
