name	*name	szFlavorText	compactsave	version	level	levelreq	rarity	spawnable	speed	nodurability	cost	gamble cost	code	alternategfx	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	special	Transmogrify	TMogType	TMogMin	TMogMax	useable	throwable	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldesccalc	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	PermStoreItem	multibuy	Nameable	*eol
Town Portal Book			0	0	0	0	2	1	0	1	2000	0	tbk	bbk	tbk	16	1	2	0	0	0	flpbbk	invbbk			0	xxx	0	0	1		book		item_book	12	item_book	0	0	5	0	0	0	1	2	500	40	0		0	-1	2														0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	2	4	2	4	255	0	0	0	0	255	0	0	0	0	255	1	1	2	4	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1		0	0
Identify Book			0	0	0	0	2	1	0	1	1000	0	ibk	rbk	ibk	16	1	2	0	0	0	flprbk	invrbk			0	xxx	0	0	1		book		item_book	12	item_book	0	0	5	0	0	0	1	4	500	100	0		0	-1	1														0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	2	4	2	4	255	0	0	0	0	255	0	0	0	0	255	1	1	2	4	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1		0	0
amulet			0	0	1	0	4	1	0	1	10000	30000	amu	amu	amu	16	1	1	1	1	1	flpamu	invamu			0	xxx	0	0	0		amul		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
viper amulet			0	0	15	0	4	0	0	1	400	0	vip	vip	vip	16	1	1	1	1	1	flpamu	invvip	invvip		0	xxx	0	0	0		amul		item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0	10	1	0	-1															0	0	0	non	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	1	xxx	xxx	0		0	0
ring			0	0	1	0	4	1	0	1	5000	15000	rin	rin	rin	16	1	1	1	1	2	flprin	invrin			0	xxx	0	0	0		ring		item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
gold			1	0	0	0	1	1	0	1	0	0	gld	gld	gld	16	1	1	0	0	0	flpgld	invgld			0	xxx	0	0	0		gold		item_gold	12	item_gold	0	0	5	0	0	0	1	0	5000	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Bark Scroll			1	0	0	0	0	0	0	1	100	0	bks	bks	bks	16	2	2	0	0	0	flpscr	invscb			0	xxx	0	0	0		ques		item_scroll	10	item_scroll	1	0	5	0	0	0	0	0	0	0	5	1	0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
deciphered Bark Scroll			1	0	0	0	0	0	0	1	12000	0	bkd	bkd	bkd	16	2	2	0	0	0	flpscr	invscb			0	xxx	0	0	0		ques		item_scroll	10	item_scroll	1	0	5	0	0	0	0	0	0	0	5	1	0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Arrows			0	0	0	0	1	1	0	1	500	0	aqv	aqv	aqv	16	1	3	0	0	0	flpqvr	invqvr			0	xxx	0	0	0		bowq		item_quiver	12	item_quiver	0	0	5	0	0	0	1	200	500	500	0		0	-1															0	1	0	non	0	0	0	0	0	255	1	3	0	0	255	3	5	0	0	255	3	4	3	4	255	0	0	0	0	255	0	0	0	0	255	3	4	3	4	255	0	0	0	0	255	0	0	0	0	255	2	3	0	0	255	2	3	0	0	255	0	0	0	0	255	3	4	0	0	255	0	0	0	0	255	0	0	0	0	255	3	4	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1		0	0
Torch			1	0	0	0	0	0	0	1	50	0	tch	bsh	tch	7	1	2	0	0	0	flptrch	invtrch			0	xxx	0	0	0		torc		item_staff	12	item_staff	0	1	3	6	0	0	0	2	10	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Bolts			0	0	0	0	1	1	0	1	500	0	cqv	cqv	cqv	16	1	3	0	0	0	flpqvr	invcqv			0	xxx	0	0	0		xboq		item_quiver	12	item_quiver	0	0	5	0	0	0	1	200	500	500	0		0	-1															0	1	0	non	0	0	0	0	0	255	2	4	0	0	255	2	4	0	0	255	3	4	3	4	255	0	0	0	0	255	0	0	0	0	255	3	4	3	4	255	0	0	0	0	255	0	0	0	0	255	2	3	0	0	255	2	3	0	0	255	0	0	0	0	255	3	4	0	0	255	0	0	0	0	255	0	0	0	0	255	3	4	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1		0	0
Town Portal Scroll			1	0	0	0	2	1	0	1	500	0	tsc	bsc	tsc	16	1	1	0	0	0	flpbsc	invbsc			0	xxx	0	0	1		scro		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0	0		0	-1	2														0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	11	17	11	17	255	0	0	0	0	255	0	0	0	0	255	1	1	11	17	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1	1	0	0
Identify Scroll			1	0	0	0	2	1	0	1	100	0	isc	rsc	isc	16	1	1	0	0	0	flprsc	invrsc			0	xxx	0	0	1		scro		item_scroll	10	item_scroll	0	0	5	0	1	0	0	0	0	0	0		0	-1	1														0	0	0	non	0	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	11	17	11	17	255	0	0	0	0	255	0	0	0	0	255	1	1	11	17	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	1	1	0	0
Not used			0	0	0	0	1	0	0	1	60	0	hrt	hrt	hrt	16	1	1	0	0	0	flphrt	invhrt			1	hpo	0	0	0		body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	60	0	brz	brz	brz	16	1	1	0	0	0	flpbrnz	invbrnz			1	opm	1	1	0		body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	75	0	jaw	jaw	jaw	16	1	1	0	0	0	flpjaw	invjaw			1	cqv	10	40	0		body		item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	45	0	eyz	eyz	eyz	16	1	1	0	0	0	flpeye	inveye			1	mpo	0	0	0		body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	48	0	hrn	hrn	hrn	16	1	1	0	0	0	flphorn	invhorn			1	aqv	10	40	0		body		item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	63	0	tal	tal	tal	16	1	1	0	0	0	flptail	invtail			1	vps	0	0	0		body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	98	0	flg	flg	flg	16	1	2	0	0	0	flpflag	invflag			0	xxx	0	0	0		body		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	80	0	fng	fng	fng	16	1	1	0	0	0	flpfang	invfang			1	key	1	1	0		body		item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	32	0	qll	qll	qll	16	1	1	0	0	0	flpquil	invquil			1	aqv	10	40	0		body		item_monsterbone	12	item_monsterbone	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	100	0	sol	sol	sol	16	1	1	0	0	0	flpsple	invsple			1	mpo	0	0	0		body		item_rare	12		0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	40	0	scz	scz	scz	16	1	1	0	0	0	flpscp	invscp			1	hpf	0	0	0		body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Not used			0	0	0	0	1	0	0	1	85	0	spe	spe	spe	16	1	1	0	0	0	flpsple	invsple			1	gps	1	1	0		body		item_monsterguts	14	item_monsterguts	0	0	5	0	0	0	0	0	0	0	0		0	-1															0	0	0	non	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	0	0	xxx	xxx	0		0	0
Skeleton Key			0	0	0	0	1	1	0	1	50	0	key	key	key	16	1	1	0	0	0	flpkey	invkey			0	xxx	0	0	0		key		item_key	12	item_key	0	0	5	0	0	0	1	1	500	1	0		0	-1															0	0	0	non	0	1	1	1	2	255	5	9	5	9	255	1	1	0	0	255	1	1	0	0	255	1	1	6	9	255	0	0	0	0	255	2	3	2	3	255	1	1	0	0	255	1	1	0	0	255	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	1	1	0	0	255	1	1	1	2	255	1	1	0	0	255	0	1	1	0	255	1	1	0	0	255			0	0	0	xxx	xxx	1	1	0	0
