index	version	enabled	ladder	rarity	nolimit	Level	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	End
The Jade Tan Do	0	1		10	1	26	11	kri	dagger			100	16500	oran			invkrsu				att		150	225	nofreeze		1	1	dmg-pois	100	600	600	res-pois		100	100	res-pois-max		25	25																													0
Irices Shard	0	1		10	1	34	14	bld	dagger			100	21500	dblu	dblu						cast3		60	60	mana		60	60	att		80	80	res-all		15	15																																	0
The Dragon Chang	0	1		10	1	10	4	spr	spear			100	7000	dpur	dpur						att		50	50	dmg-norm		15	20	light		3	3	dmg-fire		50	75																																	0
Razortine	0	1		10	1	16	6	tri	spear			100	10000	oran			invtriu				slow		30	30	reduce-ac		75	75	str		20	20	dex		12	12	swing2		40	40	dmg%		45	75																									0
Bloodthief	0	1		10	1	22	9	brn	spear			100	14500	whit	whit						openwounds		40	40	str		15	15	lifesteal		10	15	hp		40	40	dmg%		75	105																													0
Lance of Yaggai	0	1		10	1	30	12	spt	spear			100	19000	lred	lred						thorns		120	12	ltng-min		3	3	ltng-max		120	120	res-all		20	20	swing2		50	50																													0
The Tannr Gorerod	0	1		10	1	36	15	pik	spear			100	22500	lgry	lgry						fire-min		30	30	fire-max		70	70	res-fire-max		20	20	hp		50	50	att		90	90	light		4	4	res-fire		20	20	dmg%		120	150																	0
Dimoaks Hew	0	1		10	1	10	4	bar	polearm			100	7000	blac	blac						dex		20	20	dmg%		150	150	swing2		25	25	ac		-20	-20																																	0
Steelgoad	0	1		10	1	18	8	vou	polearm			100	12000	cgrn	cgrn						howl		96	96	deadly		45	45	att		50	50	res-all		10	10	dmg%		90	120	dur		30	50																									0
Soul Harvest	0	1		10	1	26	11	scy	polearm			100	16500	dgry			invscyu				openwounds		45	45	att		50	60	res-all		25	25	dmg%		75	150	manasteal		12	12	enr		10	10																									0
The Battlebranch	0	1		10	1	34	14	pax	polearm			100	21500	lblu	lblu						swing3		40	40	dex		15	15	dmg%		75	105	att		75	150	lifesteal		10	10																													0
Woestave	0	1		10	1	38	16	hal	polearm			100	24000	dblu	dblu						slow		60	60	openwounds		60	60	stupidity		3	3	dmg-ac		-75	-75	freeze		2	5	light		-4	-4	noheal		1	1	dmg%		30	50					ac		-40	-40									0
The Grim Reaper	0	1		10	1	38	16	wsc	polearm			100	24500	lpur	lpur						deadly		100	100	noheal		1	1	manasteal		8	8	dmg%		30	30	dmg-min		25	25	ac		-40	-40																									0
Bane Ash	0	1		10	1	6	3	sst	staff			100	4500	lgrn	lgrn						fire-min		8	8	fire-max		16	16	res-fire		60	60	mana		40	40	swing2		25	25	dmg%		75	90	skill	36	6	6	skill	37	3	3																	0
Serpent Lord	0	1		10	1	12	5	lst	staff			100	7500	cgrn	cgrn						dmg-pois	75	60	60	res-pois		60	60	light		-2	-2	mana		15	15	dmg%		45	60	manasteal		10	10	reduce-ac		100	100																					0
Lazarus Spire	0	1		10	1	24	10	cst	staff			100	15000	lgry			invcstu				res-ltng		75	75	red-dmg		8	8	enr		20	20	skill	53	2	2	skill	49	3	3	skill	42	4	4	regen-mana		50	50	dmg-ltng		3	60					sor		2	2									0
The Salamander	0	1		10	1	28	11	bst	staff			100	17500	dred	dred						dmg-fire		25	50	res-fire		40	40	skill	51	2	2	skill	47	3	3	skill	37	4	4	fireskill		3	3																									0
The Iron Jang Bong	0	1		10	1	38	16	wst	staff			100	24000	dyel	dyel						ac		40	40	cast3		30	30	dmg%		150	150	att%		60	60	skill	48	3	3	skill	46	3	3	skill	44	4	4	sor		3	3																	0
Pluckeye	0	1		10	1	10	4	sbw	bow			100	6500	cblu	cblu						att		50	50	dmg%		150	150	hp		20	20	light		3	3	manasteal		5	5	mana-kill		3	3																									0
Witherstring	0	1		10	1	18	7	hbw	bow			100	11500	lred	lred						swing3		40	40	dmg-min		3	3	dmg-max		10	10	att		75	75	magicarrow		50	50	dmg%		60	75																									0
Rimeraven	0	1		10	1	20	8	lbw	bow			100	12500	dred	dred						att%		75	75	dex		5	5	explosivearrow		50	50	str		5	5	dmg%		90	105																													0
Piercerib	0	1		10	1	26	11	cbw	bow			100	17000	cred			invcbwu				res-all		15	15	deadly		45	45	att		90	90	dmg%		100	150	swing2		60	60																													0
Pullspite	0	1		10	1	34	14	sbb	bow			100	21500	lgrn			invsbbu				dmg-ltng		3	60	str		15	15	att		50	50	pierce		30	30	res-ltng		30	30	dmg%		105	150																									0
Wizendraw	0	1		10	1	34	14	lbb	bow			100	22000	dgrn	dgrn						magicarrow		1	1	mana		40	40	swing2		30	30	res-cold		30	30	att		75	150	dmg%		105	120	enr		20	20																					0
Hellclap	0	1		10	1	36	15	swb	bow			100	22500	cgrn			invswbu				swing1		15	15	fire-min		20	20	fire-max		45	75	att		75	100	res-fire		50	50	dex		15	15	dmg%		105	150	fireskill		2	2																	0
Blastbark	0	1		10	1	38	16	lwb	bow			100	24000	lyel	lyel						dmg%		105	200	str		8	8	ama		2	2	manasteal		5	5	skill	16	3	3																													0
Leadcrow	0	1		10	1	12	5	lxb	crossbow			100	7500	dyel			invlxbu				dex		15	15	hp		20	20	dmg%		105	105	res-pois		40	40	deadly		35	35	att		60	60	sock	3																							0
Ichorsting	0	1		10	1	24	10	mxb	crossbow			100	15000	lgld			invmxbu				dmg-pois	75	150	150	dex		25	25	pierce		60	60	att		75	75	dmg%		75	75	swing2		25	25	sock	3																							0
Hellcast	0	1		10	1	36	15	hxb	crossbow			100	22500	dgld			invhxbu				explosivearrow		1	1	res-fire-max		15	15	res-fire		20	20	att		120	120	swing2		30	30	dmg%		120	150	dmg-fire		25	50																					0
Doomspittle	0	1		10	1	38	16	rxb	crossbow			100	24000	lpur			invrxbu				ama		2	2	pierce		50	50	swing3		40	40	hp		30	30	dmg%		90	150																													0
War Bonnet	0	1		10	1	4	1	cap	helm			100	2500	dpur			invcapu				hp		30	30	att		45	45	dmg%		45	45	mana		20	20	ac		20	20																													0
Tarnhelm	0	1		10	1	20	8	skp	helm			100	12500	oran	oran						gold%		100	100	mag%		30	60	allskills		2	2																																					0
Coif of Glory	0	1		10	1	18	8	hlm	helm			100	12000	whit			invhlmu				light-thorns		100	100	stupidity		1	1	res-ltng		20	20	ac		80	80																																	0
Duskdeep	0	1		10	1	22	9	fhl	helm			100	14500	lgry			invfhlu				light		-3	-3	res-all		20	20	red-dmg		10	10	dmg-max		12	12	ac		15	30	ac%		40	60																									0
Wormskull	0	1		10	1	28	11	bhm	helm			100	17500	lgrn			invbhmu				nec		2	2	lifesteal		8	8	mana		15	15	res-pois		30	30	dmg-pois	200	150	150																													0
Howltusk	0	1		10	1	34	14	ghm	helm			100	21500	dgry	dgry						red-mag		4	4	thorns		60	60	ac%		100	100	dmg-to-mana		40	40	knock		1	1	howl		50	50																									0
Undead Crown	0	1		10	1	38	16	crn	circlet			100	24500	blac	blac						lifesteal		12	12	ac		50	50	res-pois		60	60	half-freeze		1	1	ac%		40	70	skill	69	4	4																									0
The Face of Horror	0	1		10	1	26	11	msk	circlet			100	17000	lblu	lblu						howl		80	80	str		25	25	res-all		15	15	ac		50	50	dur		5	10																													0
Greyform	0	1		10	1	10	4	qui	torso			100	6500	lgry	lgry						red-mag		6	6	res-cold		25	25	res-fire		25	25	dex		15	15	lifesteal		8	8	ac		30	30																									0
Blinkbats Form	0	1		10	1	16	6	lea	torso			100	10000	dred	dred						move2		15	15	ac		70	70	fire-min		6	6	fire-max		18	18	balance2		50	50																													0
The Centurion	0	1		10	1	18	8	hla	torso			100	12000	cred	cred						ac		40	40	att		75	75	red-dmg		4	4	hp		30	30	mana		30	30	stam		20	20	regen		8	8	stamdrain		35	35																	0
Twitchthroe	0	1		10	1	22	9	stu	torso			100	14000	lgrn	lgrn						swing2		30	30	dex		15	15	block		30	30	ac		30	30	str		15	15	balance2		25	25																									0
Darkglow	0	1		10	1	18	8	rng	torso			100	12000	dgrn	dgrn						att		30	30	res-all-max		10	10	light		4	4	ac		30	30	res-all		15	15	ac%		80	120																									0
Hawkmail	0	1		10	1	20	8	scl	torso			100	12500	cgrn	cgrn						ac%		100	120	res-cold-max		20	20	res-cold		20	20	nofreeze		1	1	move2		15	15																													0
Sparking Mail	0	1		10	1	22	9	chn	torso			100	14500	lyel	lyel						ac%		100	120	dmg-ltng		2	40	light-thorns		75	120	res-ltng		40	40																																	0
Venomsward	0	1		10	1	26	11	brs	torso			100	17000	dyel	dyel						res-pois-max		20	20	res-pois-len		60	60	res-pois		100	100	light		3	3	ac%		75	120																													0
Iceblink	0	1		10	1	30	12	spl	torso			100	19000	lgld	lgld						freeze		5	10	res-cold		40	40	light		5	5	red-mag		3	3	ac%		80	110																													0
Boneflesh	0	1		10	1	34	14	plt	torso			100	22000	dgld	dgld						lifesteal		7	7	ac%		150	180	att		50	50	openwounds		40	40																																	0
Rockfleece	0	1		10	1	38	16	fld	torso			100	24000	dgry	dgry						ease		-200	-200	ease-string		-20	-20	ac%		125	150	red-dmg%		15	15	red-dmg		10	10	str		10	10																									0
Rattlecage	0	1		10	1	38	16	gth	torso			100	24500	dpur	dpur						howl		60	60	att		60	60	crush		35	35	ac		240	240																																	0
Goldskin	0	1		10	1	38	16	ful	torso			100	24000	oran			invfulu				ac%		150	200	res-all		40	40	thorns		150	150	light		3	3	gold%		120	140																													0
Victors Silk	0	1		10	1	38	16	aar	torso			100	24000	dblu			invaaru				manasteal		7	7	allskills		2	2	light		3	3	ac%		120	150																																	0
Heavenly Garb	0	1		10	1	38	16	ltp	torso			100	24500	cblu	cblu						ac%		120	140	res-all		20	20	regen-mana		30	30	enr		20	20	dmg-norm		25	50																													0
Pelta Lunata	0	1		10	1	2	1	buc	shield			100	2000	whit			invbucu				ac		40	40	vit		15	15	str		5	5	enr		15	15	ac%		40	50	block		25	25	block2		45	45	dur		12	18																	0
Umbral Disk	0	1		10	1	12	5	sml	shield			100	7500	lgry			invsmlu				stupidity		1	1	dex		20	20	ac		50	50	hp		80	80	light		-4	-4	ac%		60	70	block		50	50	dur		20	30																	0
Stormguild	0	1		10	1	18	7	lrg	shield			100	11500	dgry			invlrgu				red-mag		5	5	res-ltng		40	40	ac		50	50	dmg-ltng		6	40	ac%		70	90	block		50	50	light-thorns		90	90	dur		20	25																	0
Wall of the Eyeless	0	1		10	1	26	11	bsh	shield			100	17000	lgld			invbshu				mana-kill		10	10	manasteal		8	8	cast2		40	40	res-pois		40	40	ac%		50	60	ac		30	30	dur		10	20																					0
Swordback Hold	0	1		10	1	20	8	spk	shield			100	12500	lred			invspku				thorns		120	120	block		30	30	openwounds		75	75	bloody		5	5	ac%		50	80	thorns		180	180	ac		30	30	dur		20	20																	0
Steelclash	0	1		10	1	22	9	kit	shield			100	14500	blac			invkitu				block		40	40	pal		3	3	red-dmg		9	9	light		5	5	ac%		80	160	block2		30	30	res-all		30	30	ac		40	40	dur		30	40													0
Bverrit Keep	0	1		10	1	26	11	tow	shield			100	16500	lblu			invtowu				ac		40	40	res-fire		80	80	str		10	10	red-mag		10	10	ac%		100	150	block		20	20	dur		100	130																					0
The Ward	0	1		10	1	34	14	gts	shield			100	22000	dblu			invgtsu				ac		50	50	red-mag		5	5	str		20	20	block		20	20	ac%		150	150	res-all		40	75																									0
The Hand of Broc	0	1		10	1	6	3	lgl	gloves			100	4500	cblu	cblu						manasteal		5	5	lifesteal		5	5	res-pois		20	20	mana		30	30	ac		15	15	ac%		15	30																									0
Bloodfist	0	1		10	1	12	5	vgl	gloves			100	7500	oran	oran						dmg-min		8	8	hp		60	60	balance3		40	40	ac		20	20	ac%		20	40	swing2		20	20																									0
Chance Guards	0	1		10	1	20	8	mgl	gloves			100	12500	lred	lred						gold%		300	300	mag%		35	50	att		50	50	ac		25	25	light		3	3	ac%		30	40	dur		5	10																					0
Magefist	0	1		10	1	30	13	tgl	gloves			100	19500	lgry	lgry						cast3		20	20	regen-mana		25	25	fireskill		1	1	dmg-fire		1	6	ac		10	10	ac%		20	30																									0
Frostburn	0	1		10	1	38	16	hgl	gloves			100	24500	dred	dred						ac		40	40	dmg%		10	10	mana%		50	50	dmg-cold	75	3	20	ac%		20	30																													0
Hotspur	0	1		10	1	6	3	lbt	boots			100	4500	cred	cred						res-fire-max		20	20	hp		30	30	dmg-fire		9	24	ac		10	10	res-fire		55	55	ac%		20	30	dur		5	10																					0
Gorefoot	0	1		10	1	12	5	vbt	boots			100	7500	dblu	dblu						bloody		3	5	move2		30	30	manasteal		4	4	thorns		40	40	ac		18	18	ac%		30	40	skill	132	3	3																					0
Treads of Cthon	0	1		10	1	20	8	mbt	boots			100	12500	lgrn	lgrn						move3		40	40	stamdrain		60	60	hp		30	30	ac		65	65	ac%		40	50																													0
Goblin Toe	0	1		10	1	30	12	tbt	boots			100	19000	dgry	dgry						crush		35	35	red-dmg		3	3	red-mag		3	3	ac		25	25	light		-2	-2	ac%		60	70																									0
Tearhaunch	0	1		10	1	38	16	hbt	boots			100	24500	dgrn	dgrn						ac		45	45	str		10	10	dex		10	10	move2		30	30	res-all		20	20	ac%		75	100	skill	115	3	3																					0
Lenyms Cord	0	1		10	1	10	4	lbl	belt			100	6500	cgrn	cgrn						mana		20	20	regen-mana		40	40	res-all		10	10	light		2	2	sock	2																															0
Snakecord	0	1		10	1	16	6	vbl	belt			100	10000	blac	blac						dmg-pois	75	80	80	res-pois		30	30	ac		20	20	ac%		30	40	regen		8	8	res-pois-len		75	75																									0
Nightsmoke	0	1		10	1	26	11	mbl	belt			100	17000	lyel	lyel						res-all		15	15	dmg-to-mana		75	75	mana		30	30	red-dmg		4	4	ac		20	20	ac%		40	60																									0
Goldwrap	0	1		10	1	36	15	tbl	belt			100	22500	lblu	lblu						mag%		40	40	light		3	3	ac		30	30	swing2		20	20	ac%		50	75	gold%		60	90																									0
Bladebuckle	0	1		10	1	38	16	hbl	belt			100	24500	dyel	dyel						thorns		150	150	ac		40	40	red-dmg		5	5	str		10	10	dex		15	15	ac%		100	130	balance2		40	40																					0
Nokozan Relic	0	1		10	1	14	6	amu	amulet			100	9000	lgld							dmg-fire		9	20	res-fire-max		20	20	res-fire		60	60	light		4	4	balance2		30	30																													0
The Eye of Etlich	0	1		10	1	20	8	amu	amulet			100	12500	dgld							ac		20	30	light		3	6	allskills		2	2	lifesteal		4	10	dmg-cold	250	5	15	regen-mana		3	5																									0
The Mahim-Oak Curio	0	1		10	1	34	14	amu	amulet			100	21500	lpur							dex		15	15	str		15	15	enr		15	15	vit		15	15	ac		20	20	att%		20	20	res-all		20	20	ac%		20	20																	0
Nagelring	0	1		10	1	10	2	rin	ring			100	3500	dpur							red-mag		5	5	thorns		50	50	att		75	100	mag%		20	40																																	0
Manald Heal	0	1		10	1	20	2	rin	ring			100	3500	oran							manasteal		5	9	regen		6	10	hp		40	40	regen-mana		40	40																																	0
The Stone of Jordan	0	1		10	1	38	2	rin	ring			100	3500	whit							mana		30	30	mana%		30	30	ltng-min		3	3	allskills		2	2	ltng-max		36	36	light-thorns		50	75																									0
Amulet of the Viper	0	1		10	1	0	0	vip	quest			100	0	lgry							mana		15	15	res-pois		30	30	hp		20	20	dmg-pois	50	100	100																																	0
Staff of Kings	0	1		10	1	0	0	msf	quest			100	0	dgry							res-all		15	15	swing3		75	75	hp		30	30	allskills		1	1																																	0
Horadric Staff	0	1		10	1	0	0	hst	quest			100	0	blac							mana		15	15	res-pois		30	30	hp		30	30	res-all		15	15	swing3		60	60																													0
Hell Forge Hammer	0	1		10	1	0	0	hfh	quest			100	0	cred							fire-min		10	10	fire-max		30	30	res-fire		50	50	ac		40	40																																	0
KhalimFlail	0	1		10	1	0	0	qf1	quest			100	0	dblu							ltng-min		2	2	ltng-max		40	40	swing3		60	60	att		80	80																																	0
SuperKhalimFlail	0	1		10	1	0	0	qf2	quest			100	0	dblu							ltng-min		3	3	ltng-max		60	60	swing3		75	75	att		100	100	manasteal		8	8	lifesteal		8	8																									0
Coldkill	100	1		10	1	44	18	9ha	axe			100	27500	cblu	cblu		invhaxu				dmg-cold	50	60	60	res-cold		20	20	res-cold-max		20	20	swing3		40	40	hit-skill	45	7	15	gethit-skill	44	7	16	dmg%		200	300																					0
Butcher's Pupil	100	1		10	1	46	19	9ax	axe			100	29500		cblu		invaxeu				deadly		40	40	openwounds		30	30	dmg%		200	250	indestruct		1	1	swing3		40	40	dmg-norm		40	60																									0
Islestrike	100	1		10	1	50	21	92a	axe			100	32000	whit							dru		3	3	str		15	15	dex		15	15	vit		15	15	enr		15	15	ac		40	40	crush		30	30	dmg%		200	300	skill	233	2	2	skill	248	2	2									0
Pompe's Wrath	100	1		10	1	52	22	9mp	axe			100	33000		cred		invmpiu				hit-skill	244	5	12	slow		60	60	dmg-fire		50	200	knock		1	1	dmg%		200	300																													0
Guardian Naga	100	1		10	1	56	23	9wa	axe			100	35000	whit							hit-skill	92	5	12	thorns		200	200	res-pois		40	40	dmg%		175	250	dmg-pois	250	300	300	dmg-max		40	40																									0
Warlord's Trust	100	1		10	1	42	18	9la	axe 2h			100	27000	whit	whit						ac		100	100	regen		24	24	vit%		15	25	res-all		15	15	rep-dur	25			dmg%		250	250																									0
Spellsteel	100	1		10	1	46	19	9ba	axe 2h			100	29500	whit	whit						ease		-600	-600	ease-string		-60	-60	mana		125	125	red-mag		16	20	cast1		20	20	dmg%		200	200	regen-mana		30	30	charged	54	30	5	charged	87	30	5	oskill	225	1	12									0
Stormrider	100	1		10	1	48	20	9bt	axe 2h			100	30500		lred		inv9btu				hit-skill	53	5	10	hit-skill	38	10	5	dmg-ltng		5	300	dmg-norm		50	100	dmg%		125	125	dur		60	60	light-thorns		200	200	gethit-skill	38	15	15																	0
Boneslayer Blade	100	1		10	1	50	21	9ga	axe 2h			100	31500				invgaxu				dmg/lvl	4			str		20	20	swing2		30	30	att%		50	50	dmg%		200	300	gethit-skill	101	50	15	oskill	101	1	20																					0
The Minataur	100	1		10	1	52	22	9gi	axe 2h			100	33000				inv9giu				stupidity		2	2	half-freeze		1	1	str		20	30	slow		60	60	crush		40	40	dmg-norm		30	40	dmg%		175	250																					0
Suicide Branch	100	1		10	1	40	17	9wn	wand			100	25500	whit							thorns		250	250	cast2		60	60	res-all		20	20	mana%		20	20	hp		60	60	allskills		2	2																									0
Carin Shard	100	1		10	1	42	18	9yw	wand			100	27000		cblu						hp/lvl	8			cast2		20	20	mana/lvl	8			balance3		40	40	regen		8	8	nec		2	2	skilltab	8	3	3																					0
Arm of King Leoric	100	1		10	1	44	18	9bw	wand			100	27500	whit			invbwnu				skilltab	8	3	3	gethit-skill	93	5	15	mana/lvl	8			gethit-skill	88	8	15	cast1		20	20	skilltab	7	3	3	skill	77	3	3	skill	80	3	3	skill	69	3	4	skill	70	3	4									0
Blackhand Key	100	1		10	1	48	20	9gw	wand			100	30500	blac	blac		inv9gwu				skilltab	6	2	2	dmg-to-mana		30	30	hp		75	75	light		-3	-3	cast3		40	40	res-fire		50	50	nec		3	3	oskill	150	1	15																	0
Dark Clan Crusher	100	1		10	1	42	17	9cl	club			100	26500	dgld	dgld		invclbu				dru		3	3	dmg%		330	330	att%		90	110	heal-kill		20	20																																	0
