Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
107	7366900	7366900	7366900	7366900	7366900	7366900	7366900	1024
108	7516900	7516900	7516900	7516900	7516900	7516900	7516900	1024
109	7666900	7666900	7666900	7666900	7666900	7666900	7666900	1024
110	7816900	7816900	7816900	7816900	7816900	7816900	7816900	1024
111	7966900	7966900	7966900	7966900	7966900	7966900	7966900	1024
112	8116900	8116900	8116900	8116900	8116900	8116900	8116900	1024
113	8266900	8266900	8266900	8266900	8266900	8266900	8266900	1024
114	8416900	8416900	8416900	8416900	8416900	8416900	8416900	1024
115	8566900	8566900	8566900	8566900	8566900	8566900	8566900	1024
116	8716900	8716900	8716900	8716900	8716900	8716900	8716900	1024
117	8866900	8866900	8866900	8866900	8866900	8866900	8866900	1024
118	9016900	9016900	9016900	9016900	9016900	9016900	9016900	1024
119	9166900	9166900	9166900	9166900	9166900	9166900	9166900	1024
120	9316900	9316900	9316900	9316900	9316900	9316900	9316900	1024
121	9466900	9466900	9466900	9466900	9466900	9466900	9466900	1024
122	9616900	9616900	9616900	9616900	9616900	9616900	9616900	1024
123	9766900	9766900	9766900	9766900	9766900	9766900	9766900	1024
124	9916900	9916900	9916900	9916900	9916900	9916900	9916900	1024
125	10066900	10066900	10066900	10066900	10066900	10066900	10066900	1024
126	10216900	10216900	10216900	10216900	10216900	10216900	10216900	1024
127	10366900	10366900	10366900	10366900	10366900	10366900	10366900	1024
128	10516900	10516900	10516900	10516900	10516900	10516900	10516900	1024
129	10666900	10666900	10666900	10666900	10666900	10666900	10666900	1024
130	10816900	10816900	10816900	10816900	10816900	10816900	10816900	1024
131	10966900	10966900	10966900	10966900	10966900	10966900	10966900	1024
132	11116900	11116900	11116900	11116900	11116900	11116900	11116900	1024
133	11266900	11266900	11266900	11266900	11266900	11266900	11266900	1024
134	11416900	11416900	11416900	11416900	11416900	11416900	11416900	1024
135	11566900	11566900	11566900	11566900	11566900	11566900	11566900	1024
136	11716900	11716900	11716900	11716900	11716900	11716900	11716900	1024
137	11866900	11866900	11866900	11866900	11866900	11866900	11866900	1024
138	12016900	12016900	12016900	12016900	12016900	12016900	12016900	1024
139	12166900	12166900	12166900	12166900	12166900	12166900	12166900	1024
140	12316900	12316900	12316900	12316900	12316900	12316900	12316900	1024
141	12466900	12466900	12466900	12466900	12466900	12466900	12466900	1024
142	12616900	12616900	12616900	12616900	12616900	12616900	12616900	1024
143	12766900	12766900	12766900	12766900	12766900	12766900	12766900	1024
144	12916900	12916900	12916900	12916900	12916900	12916900	12916900	1024
145	13066900	13066900	13066900	13066900	13066900	13066900	13066900	1024
146	13216900	13216900	13216900	13216900	13216900	13216900	13216900	1024
147	13366900	13366900	13366900	13366900	13366900	13366900	13366900	1024
148	13516900	13516900	13516900	13516900	13516900	13516900	13516900	1024
149	13666900	13666900	13666900	13666900	13666900	13666900	13666900	1024
150	13816900	13816900	13816900	13816900	13816900	13816900	13816900	1024
151	13966900	13966900	13966900	13966900	13966900	13966900	13966900	1024
152	14116900	14116900	14116900	14116900	14116900	14116900	14116900	1024
153	14266900	14266900	14266900	14266900	14266900	14266900	14266900	1024
154	14416900	14416900	14416900	14416900	14416900	14416900	14416900	1024
155	14566900	14566900	14566900	14566900	14566900	14566900	14566900	1024
156	14716900	14716900	14716900	14716900	14716900	14716900	14716900	1024
157	14866900	14866900	14866900	14866900	14866900	14866900	14866900	1024
158	15016900	15016900	15016900	15016900	15016900	15016900	15016900	1024
159	15166900	15166900	15166900	15166900	15166900	15166900	15166900	1024
160	15316900	15316900	15316900	15316900	15316900	15316900	15316900	1024
161	15466900	15466900	15466900	15466900	15466900	15466900	15466900	1024
162	15616900	15616900	15616900	15616900	15616900	15616900	15616900	1024
163	15766900	15766900	15766900	15766900	15766900	15766900	15766900	1024
164	15916900	15916900	15916900	15916900	15916900	15916900	15916900	1024
165	16066900	16066900	16066900	16066900	16066900	16066900	16066900	1024
166	16216900	16216900	16216900	16216900	16216900	16216900	16216900	1024
167	16366900	16366900	16366900	16366900	16366900	16366900	16366900	1024
168	16516900	16516900	16516900	16516900	16516900	16516900	16516900	1024
169	16666900	16666900	16666900	16666900	16666900	16666900	16666900	1024
170	16816900	16816900	16816900	16816900	16816900	16816900	16816900	1024
171	16966900	16966900	16966900	16966900	16966900	16966900	16966900	1024
172	17116900	17116900	17116900	17116900	17116900	17116900	17116900	1024
173	17266900	17266900	17266900	17266900	17266900	17266900	17266900	1024
174	17416900	17416900	17416900	17416900	17416900	17416900	17416900	1024
175	17566900	17566900	17566900	17566900	17566900	17566900	17566900	1024
176	17716900	17716900	17716900	17716900	17716900	17716900	17716900	1024
177	17866900	17866900	17866900	17866900	17866900	17866900	17866900	1024
178	18016900	18016900	18016900	18016900	18016900	18016900	18016900	1024
179	18166900	18166900	18166900	18166900	18166900	18166900	18166900	1024
180	18316900	18316900	18316900	18316900	18316900	18316900	18316900	1024
181	18466900	18466900	18466900	18466900	18466900	18466900	18466900	1024
182	18616900	18616900	18616900	18616900	18616900	18616900	18616900	1024
183	18766900	18766900	18766900	18766900	18766900	18766900	18766900	1024
184	18916900	18916900	18916900	18916900	18916900	18916900	18916900	1024
185	19066900	19066900	19066900	19066900	19066900	19066900	19066900	1024
186	19216900	19216900	19216900	19216900	19216900	19216900	19216900	1024
187	19366900	19366900	19366900	19366900	19366900	19366900	19366900	1024
188	19516900	19516900	19516900	19516900	19516900	19516900	19516900	1024
189	19666900	19666900	19666900	19666900	19666900	19666900	19666900	1024
190	19816900	19816900	19816900	19816900	19816900	19816900	19816900	1024
191	19966900	19966900	19966900	19966900	19966900	19966900	19966900	1024
192	20116900	20116900	20116900	20116900	20116900	20116900	20116900	1024
193	20266900	20266900	20266900	20266900	20266900	20266900	20266900	1024
194	20416900	20416900	20416900	20416900	20416900	20416900	20416900	1024
195	20566900	20566900	20566900	20566900	20566900	20566900	20566900	1024
196	20716900	20716900	20716900	20716900	20716900	20716900	20716900	1024
197	20866900	20866900	20866900	20866900	20866900	20866900	20866900	1024
198	21016900	21016900	21016900	21016900	21016900	21016900	21016900	1024
199	21166900	21166900	21166900	21166900	21166900	21166900	21166900	1024
200	21316900	21316900	21316900	21316900	21316900	21316900	21316900	1024
201	21516900	21516900	21516900	21516900	21516900	21516900	21516900	1024
202	21716900	21716900	21716900	21716900	21716900	21716900	21716900	1024
203	21916900	21916900	21916900	21916900	21916900	21916900	21916900	1024
204	22116900	22116900	22116900	22116900	22116900	22116900	22116900	1024
205	22316900	22316900	22316900	22316900	22316900	22316900	22316900	1024
206	22516900	22516900	22516900	22516900	22516900	22516900	22516900	1024
207	22716900	22716900	22716900	22716900	22716900	22716900	22716900	1024
208	22916900	22916900	22916900	22916900	22916900	22916900	22916900	1024
209	23116900	23116900	23116900	23116900	23116900	23116900	23116900	1024
210	23316900	23316900	23316900	23316900	23316900	23316900	23316900	1024
211	23516900	23516900	23516900	23516900	23516900	23516900	23516900	1024
212	23716900	23716900	23716900	23716900	23716900	23716900	23716900	1024
213	23916900	23916900	23916900	23916900	23916900	23916900	23916900	1024
214	24116900	24116900	24116900	24116900	24116900	24116900	24116900	1024
215	24316900	24316900	24316900	24316900	24316900	24316900	24316900	1024
216	24516900	24516900	24516900	24516900	24516900	24516900	24516900	1024
217	24716900	24716900	24716900	24716900	24716900	24716900	24716900	1024
218	24916900	24916900	24916900	24916900	24916900	24916900	24916900	1024
219	25116900	25116900	25116900	25116900	25116900	25116900	25116900	1024
220	25316900	25316900	25316900	25316900	25316900	25316900	25316900	1024
221	25516900	25516900	25516900	25516900	25516900	25516900	25516900	1024
222	25716900	25716900	25716900	25716900	25716900	25716900	25716900	1024
223	25916900	25916900	25916900	25916900	25916900	25916900	25916900	1024
224	26116900	26116900	26116900	26116900	26116900	26116900	26116900	1024
225	26316900	26316900	26316900	26316900	26316900	26316900	26316900	1024
226	26516900	26516900	26516900	26516900	26516900	26516900	26516900	1024
227	26716900	26716900	26716900	26716900	26716900	26716900	26716900	1024
228	26916900	26916900	26916900	26916900	26916900	26916900	26916900	1024
229	27116900	27116900	27116900	27116900	27116900	27116900	27116900	1024
230	27316900	27316900	27316900	27316900	27316900	27316900	27316900	1024
231	27516900	27516900	27516900	27516900	27516900	27516900	27516900	1024
232	27716900	27716900	27716900	27716900	27716900	27716900	27716900	1024
233	27916900	27916900	27916900	27916900	27916900	27916900	27916900	1024
234	28116900	28116900	28116900	28116900	28116900	28116900	28116900	1024
235	28316900	28316900	28316900	28316900	28316900	28316900	28316900	1024
236	28516900	28516900	28516900	28516900	28516900	28516900	28516900	1024
237	28716900	28716900	28716900	28716900	28716900	28716900	28716900	1024
238	28916900	28916900	28916900	28916900	28916900	28916900	28916900	1024
239	29116900	29116900	29116900	29116900	29116900	29116900	29116900	1024
240	29316900	29316900	29316900	29316900	29316900	29316900	29316900	1024
241	29516900	29516900	29516900	29516900	29516900	29516900	29516900	1024
242	29716900	29716900	29716900	29716900	29716900	29716900	29716900	1024
243	29916900	29916900	29916900	29916900	29916900	29916900	29916900	1024
244	30116900	30116900	30116900	30116900	30116900	30116900	30116900	1024
245	30316900	30316900	30316900	30316900	30316900	30316900	30316900	1024
246	30516900	30516900	30516900	30516900	30516900	30516900	30516900	1024
247	30716900	30716900	30716900	30716900	30716900	30716900	30716900	1024
248	30916900	30916900	30916900	30916900	30916900	30916900	30916900	1024
249	31116900	31116900	31116900	31116900	31116900	31116900	31116900	1024
250	31316900	31316900	31316900	31316900	31316900	31316900	31316900	1024
251	31516900	31516900	31516900	31516900	31516900	31516900	31516900	1024
252	31716900	31716900	31716900	31716900	31716900	31716900	31716900	1024
253	31916900	31916900	31916900	31916900	31916900	31916900	31916900	1024
254	32116900	32116900	32116900	32116900	32116900	32116900	32116900	1024
255	32316900	32316900	32316900	32316900	32316900	32316900	32316900	1024
256	32516900	32516900	32516900	32516900	32516900	32516900	32516900	1024
257	32716900	32716900	32716900	32716900	32716900	32716900	32716900	1024
258	32916900	32916900	32916900	32916900	32916900	32916900	32916900	1024
259	33116900	33116900	33116900	33116900	33116900	33116900	33116900	1024
260	33316900	33316900	33316900	33316900	33316900	33316900	33316900	1024
261	33516900	33516900	33516900	33516900	33516900	33516900	33516900	1024
262	33716900	33716900	33716900	33716900	33716900	33716900	33716900	1024
263	33916900	33916900	33916900	33916900	33916900	33916900	33916900	1024
264	34116900	34116900	34116900	34116900	34116900	34116900	34116900	1024
265	34316900	34316900	34316900	34316900	34316900	34316900	34316900	1024
266	34516900	34516900	34516900	34516900	34516900	34516900	34516900	1024
267	34716900	34716900	34716900	34716900	34716900	34716900	34716900	1024
268	34916900	34916900	34916900	34916900	34916900	34916900	34916900	1024
269	35116900	35116900	35116900	35116900	35116900	35116900	35116900	1024
270	35316900	35316900	35316900	35316900	35316900	35316900	35316900	1024
271	35516900	35516900	35516900	35516900	35516900	35516900	35516900	1024
272	35716900	35716900	35716900	35716900	35716900	35716900	35716900	1024
273	35916900	35916900	35916900	35916900	35916900	35916900	35916900	1024
274	36116900	36116900	36116900	36116900	36116900	36116900	36116900	1024
275	36316900	36316900	36316900	36316900	36316900	36316900	36316900	1024
276	36516900	36516900	36516900	36516900	36516900	36516900	36516900	1024
277	36716900	36716900	36716900	36716900	36716900	36716900	36716900	1024
278	36916900	36916900	36916900	36916900	36916900	36916900	36916900	1024
279	37116900	37116900	37116900	37116900	37116900	37116900	37116900	1024
280	37316900	37316900	37316900	37316900	37316900	37316900	37316900	1024
281	37516900	37516900	37516900	37516900	37516900	37516900	37516900	1024
282	37716900	37716900	37716900	37716900	37716900	37716900	37716900	1024
283	37916900	37916900	37916900	37916900	37916900	37916900	37916900	1024
284	38116900	38116900	38116900	38116900	38116900	38116900	38116900	1024
285	38316900	38316900	38316900	38316900	38316900	38316900	38316900	1024
286	38516900	38516900	38516900	38516900	38516900	38516900	38516900	1024
287	38716900	38716900	38716900	38716900	38716900	38716900	38716900	1024
288	38916900	38916900	38916900	38916900	38916900	38916900	38916900	1024
289	39116900	39116900	39116900	39116900	39116900	39116900	39116900	1024
290	39316900	39316900	39316900	39316900	39316900	39316900	39316900	1024
291	39516900	39516900	39516900	39516900	39516900	39516900	39516900	1024
292	39716900	39716900	39716900	39716900	39716900	39716900	39716900	1024
293	39916900	39916900	39916900	39916900	39916900	39916900	39916900	1024
294	40116900	40116900	40116900	40116900	40116900	40116900	40116900	1024
295	40316900	40316900	40316900	40316900	40316900	40316900	40316900	1024
296	40516900	40516900	40516900	40516900	40516900	40516900	40516900	1024
297	40716900	40716900	40716900	40716900	40716900	40716900	40716900	1024
298	40916900	40916900	40916900	40916900	40916900	40916900	40916900	1024
299	41116900	41116900	41116900	41116900	41116900	41116900	41116900	1024
300	41316900	41316900	41316900	41316900	41316900	41316900	41316900	1024
301	41516900	41516900	41516900	41516900	41516900	41516900	41516900	1024
302	41716900	41716900	41716900	41716900	41716900	41716900	41716900	1024
303	41916900	41916900	41916900	41916900	41916900	41916900	41916900	1024
304	42116900	42116900	42116900	42116900	42116900	42116900	42116900	1024
305	42316900	42316900	42316900	42316900	42316900	42316900	42316900	1024
306	42516900	42516900	42516900	42516900	42516900	42516900	42516900	1024
307	42716900	42716900	42716900	42716900	42716900	42716900	42716900	1024
308	42916900	42916900	42916900	42916900	42916900	42916900	42916900	1024
309	43116900	43116900	43116900	43116900	43116900	43116900	43116900	1024
310	43316900	43316900	43316900	43316900	43316900	43316900	43316900	1024
311	43516900	43516900	43516900	43516900	43516900	43516900	43516900	1024
312	43716900	43716900	43716900	43716900	43716900	43716900	43716900	1024
313	43916900	43916900	43916900	43916900	43916900	43916900	43916900	1024
314	44116900	44116900	44116900	44116900	44116900	44116900	44116900	1024
315	44316900	44316900	44316900	44316900	44316900	44316900	44316900	1024
316	44516900	44516900	44516900	44516900	44516900	44516900	44516900	1024
317	44716900	44716900	44716900	44716900	44716900	44716900	44716900	1024
318	44916900	44916900	44916900	44916900	44916900	44916900	44916900	1024
319	45116900	45116900	45116900	45116900	45116900	45116900	45116900	1024
320	45316900	45316900	45316900	45316900	45316900	45316900	45316900	1024
321	45516900	45516900	45516900	45516900	45516900	45516900	45516900	1024
322	45716900	45716900	45716900	45716900	45716900	45716900	45716900	1024
323	45916900	45916900	45916900	45916900	45916900	45916900	45916900	1024
324	46116900	46116900	46116900	46116900	46116900	46116900	46116900	1024
325	46316900	46316900	46316900	46316900	46316900	46316900	46316900	1024
326	46516900	46516900	46516900	46516900	46516900	46516900	46516900	1024
327	46716900	46716900	46716900	46716900	46716900	46716900	46716900	1024
328	46916900	46916900	46916900	46916900	46916900	46916900	46916900	1024
329	47116900	47116900	47116900	47116900	47116900	47116900	47116900	1024
330	47316900	47316900	47316900	47316900	47316900	47316900	47316900	1024
331	47516900	47516900	47516900	47516900	47516900	47516900	47516900	1024
332	47716900	47716900	47716900	47716900	47716900	47716900	47716900	1024
333	47916900	47916900	47916900	47916900	47916900	47916900	47916900	1024
334	48116900	48116900	48116900	48116900	48116900	48116900	48116900	1024
335	48316900	48316900	48316900	48316900	48316900	48316900	48316900	1024
336	48516900	48516900	48516900	48516900	48516900	48516900	48516900	1024
337	48716900	48716900	48716900	48716900	48716900	48716900	48716900	1024
338	48916900	48916900	48916900	48916900	48916900	48916900	48916900	1024
339	49116900	49116900	49116900	49116900	49116900	49116900	49116900	1024
340	49316900	49316900	49316900	49316900	49316900	49316900	49316900	1024
341	49516900	49516900	49516900	49516900	49516900	49516900	49516900	1024
342	49716900	49716900	49716900	49716900	49716900	49716900	49716900	1024
343	49916900	49916900	49916900	49916900	49916900	49916900	49916900	1024
344	50116900	50116900	50116900	50116900	50116900	50116900	50116900	1024
345	50316900	50316900	50316900	50316900	50316900	50316900	50316900	1024
346	50516900	50516900	50516900	50516900	50516900	50516900	50516900	1024
347	50716900	50716900	50716900	50716900	50716900	50716900	50716900	1024
348	50916900	50916900	50916900	50916900	50916900	50916900	50916900	1024
349	51116900	51116900	51116900	51116900	51116900	51116900	51116900	1024
350	51316900	51316900	51316900	51316900	51316900	51316900	51316900	1024
351	51516900	51516900	51516900	51516900	51516900	51516900	51516900	1024
352	51716900	51716900	51716900	51716900	51716900	51716900	51716900	1024
353	51916900	51916900	51916900	51916900	51916900	51916900	51916900	1024
354	52116900	52116900	52116900	52116900	52116900	52116900	52116900	1024
355	52316900	52316900	52316900	52316900	52316900	52316900	52316900	1024
356	52516900	52516900	52516900	52516900	52516900	52516900	52516900	1024
357	52716900	52716900	52716900	52716900	52716900	52716900	52716900	1024
358	52916900	52916900	52916900	52916900	52916900	52916900	52916900	1024
359	53116900	53116900	53116900	53116900	53116900	53116900	53116900	1024
360	53316900	53316900	53316900	53316900	53316900	53316900	53316900	1024
361	53516900	53516900	53516900	53516900	53516900	53516900	53516900	1024
362	53716900	53716900	53716900	53716900	53716900	53716900	53716900	1024
363	53916900	53916900	53916900	53916900	53916900	53916900	53916900	1024
364	54116900	54116900	54116900	54116900	54116900	54116900	54116900	1024
365	54316900	54316900	54316900	54316900	54316900	54316900	54316900	1024
366	54516900	54516900	54516900	54516900	54516900	54516900	54516900	1024
367	54716900	54716900	54716900	54716900	54716900	54716900	54716900	1024
368	54916900	54916900	54916900	54916900	54916900	54916900	54916900	1024
369	55116900	55116900	55116900	55116900	55116900	55116900	55116900	1024
370	55316900	55316900	55316900	55316900	55316900	55316900	55316900	1024
371	55516900	55516900	55516900	55516900	55516900	55516900	55516900	1024
372	55716900	55716900	55716900	55716900	55716900	55716900	55716900	1024
373	55916900	55916900	55916900	55916900	55916900	55916900	55916900	1024
374	56116900	56116900	56116900	56116900	56116900	56116900	56116900	1024
375	56316900	56316900	56316900	56316900	56316900	56316900	56316900	1024
376	56516900	56516900	56516900	56516900	56516900	56516900	56516900	1024
377	56716900	56716900	56716900	56716900	56716900	56716900	56716900	1024
378	56916900	56916900	56916900	56916900	56916900	56916900	56916900	1024
379	57116900	57116900	57116900	57116900	57116900	57116900	57116900	1024
380	57316900	57316900	57316900	57316900	57316900	57316900	57316900	1024
381	57516900	57516900	57516900	57516900	57516900	57516900	57516900	1024
382	57716900	57716900	57716900	57716900	57716900	57716900	57716900	1024
383	57916900	57916900	57916900	57916900	57916900	57916900	57916900	1024
384	58116900	58116900	58116900	58116900	58116900	58116900	58116900	1024
385	58316900	58316900	58316900	58316900	58316900	58316900	58316900	1024
386	58516900	58516900	58516900	58516900	58516900	58516900	58516900	1024
387	58716900	58716900	58716900	58716900	58716900	58716900	58716900	1024
388	58916900	58916900	58916900	58916900	58916900	58916900	58916900	1024
389	59116900	59116900	59116900	59116900	59116900	59116900	59116900	1024
390	59316900	59316900	59316900	59316900	59316900	59316900	59316900	1024
391	59516900	59516900	59516900	59516900	59516900	59516900	59516900	1024
392	59716900	59716900	59716900	59716900	59716900	59716900	59716900	1024
393	59916900	59916900	59916900	59916900	59916900	59916900	59916900	1024
394	60116900	60116900	60116900	60116900	60116900	60116900	60116900	1024
395	60316900	60316900	60316900	60316900	60316900	60316900	60316900	1024
396	60516900	60516900	60516900	60516900	60516900	60516900	60516900	1024
397	60716900	60716900	60716900	60716900	60716900	60716900	60716900	1024
398	60916900	60916900	60916900	60916900	60916900	60916900	60916900	1024
399	61116900	61116900	61116900	61116900	61116900	61116900	61116900	1024
400	61316900	61316900	61316900	61316900	61316900	61316900	61316900	1024
401	61566900	61566900	61566900	61566900	61566900	61566900	61566900	1024
402	61816900	61816900	61816900	61816900	61816900	61816900	61816900	1024
403	62066900	62066900	62066900	62066900	62066900	62066900	62066900	1024
404	62316900	62316900	62316900	62316900	62316900	62316900	62316900	1024
405	62566900	62566900	62566900	62566900	62566900	62566900	62566900	1024
406	62816900	62816900	62816900	62816900	62816900	62816900	62816900	1024
407	63066900	63066900	63066900	63066900	63066900	63066900	63066900	1024
408	63316900	63316900	63316900	63316900	63316900	63316900	63316900	1024
409	63566900	63566900	63566900	63566900	63566900	63566900	63566900	1024
410	63816900	63816900	63816900	63816900	63816900	63816900	63816900	1024
411	64066900	64066900	64066900	64066900	64066900	64066900	64066900	1024
412	64316900	64316900	64316900	64316900	64316900	64316900	64316900	1024
413	64566900	64566900	64566900	64566900	64566900	64566900	64566900	1024
414	64816900	64816900	64816900	64816900	64816900	64816900	64816900	1024
415	65066900	65066900	65066900	65066900	65066900	65066900	65066900	1024
416	65316900	65316900	65316900	65316900	65316900	65316900	65316900	1024
417	65566900	65566900	65566900	65566900	65566900	65566900	65566900	1024
418	65816900	65816900	65816900	65816900	65816900	65816900	65816900	1024
419	66066900	66066900	66066900	66066900	66066900	66066900	66066900	1024
420	66316900	66316900	66316900	66316900	66316900	66316900	66316900	1024
421	66566900	66566900	66566900	66566900	66566900	66566900	66566900	1024
422	66816900	66816900	66816900	66816900	66816900	66816900	66816900	1024
423	67066900	67066900	67066900	67066900	67066900	67066900	67066900	1024
424	67316900	67316900	67316900	67316900	67316900	67316900	67316900	1024
425	67566900	67566900	67566900	67566900	67566900	67566900	67566900	1024
426	67816900	67816900	67816900	67816900	67816900	67816900	67816900	1024
427	68066900	68066900	68066900	68066900	68066900	68066900	68066900	1024
428	68316900	68316900	68316900	68316900	68316900	68316900	68316900	1024
429	68566900	68566900	68566900	68566900	68566900	68566900	68566900	1024
430	68816900	68816900	68816900	68816900	68816900	68816900	68816900	1024
