*Difference	amaVsWeakMon	amaVsStrongMon	amaVsWeakMon(N)	amaVsStrongMon(N)	amaVsWeakMon(H)	amaVsStrongMon(H)	sorVsWeakMon	sorVsStrongMon	sorVsWeakMon(N)	sorVsStrongMon(N)	sorVsWeakMon(H)	sorVsStrongMon(H)	necVsWeakMon	necVsStrongMon	necVsWeakMon(N)	necVsStrongMon(N)	necVsWeakMon(H)	necVsStrongMon(H)	palVsWeakMon	palVsStrongMon	palVsWeakMon(N)	palVsStrongMon(N)	palVsWeakMon(H)	palVsStrongMon(H)	barVsWeakMon	barVsStrongMon	barVsWeakMon(N)	barVsStrongMon(N)	barVsWeakMon(H)	barVsStrongMon(H)	druVsWeakMon	druVsStrongMon	druVsWeakMon(N)	druVsStrongMon(N)	druVsWeakMon(H)	druVsStrongMon(H)	assVsWeakMon	assVsStrongMon	assVsWeakMon(N)	assVsStrongMon(N)	assVsWeakMon(H)	assVsStrongMon(H)	*eol
10	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	1024	0
11	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	1018	0
12	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	1008	0
13	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	0
14	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	988	0
15	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	978	0
16	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	968	0
17	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	958	0
18	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	948	0
19	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	938	0
20	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	928	0
21	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	918	0
22	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	908	0
23	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	898	0
24	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	888	0
25	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	878	0
26	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	868	0
27	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	858	0
28	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	848	0
29	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	838	0
30	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	828	0
31	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	0
32	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	808	0
33	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	798	0
34	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	788	0
35	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	778	0
36	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	768	0
37	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	758	0
38	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	748	0
39	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	738	0
40	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	728	0
41	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	718	0
42	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	708	0
43	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	698	0
44	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	688	0
45	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	678	0
46	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	668	0
47	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	658	0
48	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	648	0
49	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	638	0
50	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	628	0
51	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	618	0
52	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	608	0
53	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	598	0
54	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	588	0
55	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	578	0
56	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	0
57	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	558	0
58	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	548	0
59	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	538	0
60	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	528	0
61	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	518	0
62	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	508	0
63	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	498	0
64	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	488	0
65	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	478	0
66	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	468	0
67	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	458	0
68	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	448	0
69	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	438	0
70	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	428	0
71	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	418	0
72	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	408	0
73	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	398	0
74	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	388	0
75	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	378	0
76	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	368	0
77	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	358	0
78	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	348	0
79	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	338	0
80	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	328	0
81	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	318	0
82	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	308	0
83	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	298	0
84	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	288	0
85	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	278	0
86	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	268	0
87	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	258	0
88	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	0
89	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	238	0
90	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	228	0
91	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	218	0
92	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	208	0
93	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	198	0
94	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	188	0
95	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	178	0
96	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	0
97	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	158	0
98	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	148	0
99	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	138	0
100	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	0
