Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ		Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
bighead1	10	bighead1		0	Afflicted	bighead1		bighead	Bighead		BH  	1	1												3	8	0	9	11	1	19	19	19	bighead	bighead	10	15	14	13				88	75	75	30	25	20	20	30	40	70	80	90														bighead2							1	0	1	0	0	0	1	0	0	0	1	0	1	0		1	1			0	0	0	0	0																										100	85	75	-50	-40	-33	0	0	0	70	0	0	0	0	0	85	0	75	0	0	0	100	0	0	2				11	11	11		45	100	64	27	50	100	76	0	0	81	0	0	0	45	100	64	27	50	100	76	0	0	81	0	0	0	45	100	64	27	50	100	76	0	0	81	0	0	0	A2	ltng	100	25	50	0	100	25	50	0	100	25	50	0																													Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C				0	0	0	0	0
bighead2	11	bighead2		1	Tainted	bighead2		bighead	Bighead		BH  	1	1												4	10	0	9	11	1	26	26	26	bighead	bighead	10	15	14	13				86	100	100	30	25	20	25	35	45	70	80	90														bighead2							1	0	1	0	0	0	1	0	0	0	1	0	1	0		1	1			0	0	0	0	0																										100	85	75	-50	-40	-33	0	0	0	60	0	0	0	0	0	80	0	75	0	0	0	100	0	0	2				10	10	10		45	100	65	29	50	100	76	0	0	78	0	0	0	45	100	65	29	50	100	76	0	0	78	0	0	0	45	100	65	29	50	100	76	0	0	78	0	0	0	A2	ltng	100	25	50	0	100	25	50	0	100	25	50	0																													Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C				0	0	0	0	0
bighead3	12	bighead3		2	Misshapen	bighead3		bighead	Bighead		BH  	1	1												6	13	0	8	10	1	38	38	38	bighead	bighead	10	15	14	13				80	50	50	30	25	20	30	40	50	70	80	90														bighead3							1	0	1	0	0	0	1	0	0	0	1	0	1	0		1	1			0	0	0	0	0																										100	85	75	-50	-40	-33	5	0	0	0	0	0	5	0	0	70	0	0	5	0	0	100	0	0	2				5	5	5		45	100	69	37	50	100	79	0	0	81	0	0	0	45	100	69	37	50	100	79	0	0	81	0	0	0	45	100	69	37	50	100	79	0	0	81	0	0	0	A2	ltng	100	25	50	0	100	25	50	0	100	25	50	0																													Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B				0	0	0	0	0
bighead4	13	bighead4		3	Disfigured	bighead4		bighead	Bighead		BH  	1	1												7	15	0	8	10	1	67	67	67	bighead	bighead	10	15	14	13				83	0	0	30	25	20	35	45	55	70	80	90														bighead4							1	0	1	0	0	0	1	0	0	0	1	0	1	0		1	1			0	0	0	0	0																										100	85	75	-50	-40	-33	10	5	5	55	5	5	10	5	5	80	5	5	10	5	5	105	5	5	2				8	8	8		45	100	69	41	50	100	82	0	0	92	0	0	0	45	100	69	41	50	100	82	0	0	92	0	0	0	45	100	69	41	50	100	82	0	0	92	0	0	0	A2	ltng	100	25	50	0	100	25	50	0	100	25	50	0																													Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B				0	0	0	0	0
bighead5	14	bighead5		4	Damned	bighead5		bighead	Bighead		BH  	1	1												8	17	0	10	12	1	84	84	84	bighead	bighead	10	15	14	13				90	33	33	30	25	20	40	50	60	70	80	90														bighead5							1	0	1	0	0	0	1	0	0	0	1	0	1	0		1	1			0	0	0	0	0																										100	85	75	-50	-40	-33	20	10	10	90	10	10	20	10	10	100	10	10	20	10	10	110	10	10	3				22	22	22		45	100	72	56	50	100	79	0	0	90	0	0	0	45	100	72	56	50	100	79	0	0	90	0	0	0	45	100	72	56	50	100	79	0	0	90	0	0	0	A2	ltng	100	25	50	0	100	25	50	0	100	25	50	0																													Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A				0	0	0	0	0
foulcrow1	15	foulcrow1		0	Wyvern	foulcrow1		foulcrow	BloodHawk		!E  	1													1	4	0	11	13	1	38	38	38	foulcrow	foulcrow	10	15	14	13				65	75	85	35	25	15	50	50	50	50	60	75	100	100	100																		0	0	1	1	0	0	1	0	0	0	0	1	0	0		1	1			0	0	0	0	0																										100	100	100	-50	-40	-33	15	30	10	10	10	60	20	40	10	10	10	75	20	40	10	10	10	100	3				5	5	5		240	340	85	240	50	120	73	0	0	0	0	0	0	240	340	85	240	50	120	73	0	0	0	0	0	0	240	340	85	240	50	120	73	0	0	0	0	0	0	A1	pois	100	40	40	100	100	40	40	100	100	40	40	100																													Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				0	0	0	0	0
foulcrow2	16	foulcrow2		1	BloodHawk	foulcrow2		foulcrow	BloodHawk		BK  	1													2	5	0	13	15	1	45	45	45	foulcrow	foulcrow	10	15	14	13				45	55	65	55	45	35	30	30	30	50	60	75	100	100	100																		0	0	1	1	0	0	1	0	0	0	0	1	0	0		1	1			0	0	0	0	0																										100	100	100	-50	-40	-33	25	30	10	10	10	60	30	10	10	10	10	10	30	10	10	10	10	100	3				7	7	7		260	360	83	260	60	180	73	0	0	0	0	0	0	260	360	83	260	60	180	73	0	0	0	0	0	0	260	360	83	260	60	180	73	0	0	0	0	0	0	A1	pois	100	60	60	100	100	60	60	100	100	60	60	100																													Act 3 Cast C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) Cast C	Act 3 (N) Champ C	Act 3 (N) Unique C		Act 3 (H) Cast C	Act 3 (H) Champ C	Act 3 (H) Unique C				0	0	0	0	0
foulcrow3	17	foulcrow3		2	BlackRaptor	foulcrow3		foulcrow	BloodHawk		BK  	1													3	5	0	14	17	1	65	65	65	foulcrow	foulcrow	10	15	14	13				45	55	65	55	45	35	30	30	30	50	60	75	100	100	100																		0	0	1	1	0	0	1	0	0	0	0	1	0	0		1	1			0	0	0	0	0																										100	100	100	-25	-15	0	40	45	15	15	15	65	45	55	15	15	15	80	45	65	15	15	15	100	4				17	17	17		280	380	84	280	90	260	76	0	0	0	0	0	0	280	380	84	280	90	260	76	0	0	0	0	0	0	280	380	84	280	90	260	76	0	0	0	0	0	0	A1	pois	100	80	80	100	100	80	80	100	100	80	80	100																													Act 4 Cast B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) Cast B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) Cast B	Act 4 (H) Champ B	Act 4 (H) Unique B				0	0	0	0	0
foulcrow4	18	foulcrow4		3	CloudStalker	foulcrow4		foulcrow	BloodHawk		BK  	1													2	6	0	15	19	1	90	90	90	foulcrow	foulcrow	10	15	14	13				45	55	65	55	45	35	30	30	30	50	60	75	100	100	100																		0	0	1	1	0	0	1	0	0	0	0	1	0	0		1	1			0	0	0	0	0																										100	100	100	-15	-10	0	55	60	30	30	30	70	60	70	40	40	40	85	60	80	45	45	45	100	3				22	22	22		300	400	81	300	120	340	75	0	0	0	0	0	0	300	400	81	300	120	340	75	0	0	0	0	0	0	300	400	81	300	120	340	75	0	0	0	0	0	0	A1	pois	100	100	100	100	100	100	100	100	100	100	100	100																													Drake	Act 4 Champ B	Act 4 Unique B		Drake (N)	Act 4 (N) Champ B	Act 4 (N) Unique B		Drake (H)	Act 4 (H) Champ B	Act 4 (H) Unique B				0	0	0	0	0
fallen1	19	fallen1	fallen2	0	Fallen	fallen1		fallen	Fallen		FA  	1							fallen1		1	1	2	3	4	8	0	8	10	1	9	9	9	fallen	fallen	10	15	14	13				40	45	50	10	15	20	60	70	80	20	25	30																					0	0	1	1	0	0	1	0	0	0	1	0	1	0		1	1			0	0	0	0	1																										100	85	75	-50	-40	-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	2				9	9	9		35	70	62	26	40	110	77	40	110	72	0	0	0	35	70	62	26	40	110	77	40	110	72	0	0	0	35	70	62	26	40	110	77	40	110	72	0	0	0																																											Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A				0	0	0	0	0
fallen2	20	fallen1	fallen3	1	Carver	fallen2		fallen	Fallen		FA  	1							fallen2		1	1	2	4	5	10	0	8	10	1	10	10	10	fallen	fallen	10	15	14	13				45	50	55	15	18	24	65	75	85	25	30	35																					0	0	1	1	0	0	1	0	0	0	1	0	1	0		1	1			0	0	0	0	1																										100	85	75	-50	-40	-33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	2				16	16	16		35	70	74	27	40	110	68	40	110	78	0	0	0	35	70	74	27	40	110	68	40	110	78	0	0	0	35	70	74	27	40	110	68	40	110	78	0	0	0																																											Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B				0	0	0	0	0
fallen3	21	fallen1	fallen4	2	Devilkin	fallen3		fallen	Fallen		FA  	1							fallen3		1	1	3	4	6	12	0	9	11	1	13	13	13	fallen	fallen	10	15	14	13				55	60	60	20	22	30	70	80	90	30	35	40																					0	0	1	1	0	0	1	0	0	0	1	0	1	0		1	1			0	0	0	0	1																										100	85	75	-50	-40	-33	5	0	0	0	0	0	5	0	0	0	0	0	5	0	100	0	0	0	2				25	25	25		35	70	78	39	40	110	74	40	110	84	0	0	0	35	70	78	39	40	110	74	40	110	84	0	0	0	35	70	78	39	40	110	74	40	110	84	0	0	0																																											Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B				0	0	0	0	0
fallen4	22	fallen1		3	DarkOne	fallen4		fallen	Fallen		FA  	1							fallen4		1	1	3	5	7	14	0	9	11	1	19	19	19	fallen	fallen	10	15	14	13				65	70	70	25	26	30	80	90	95	35	40	45																					0	0	1	1	0	0	1	0	0	0	1	0	1	0		1	1			0	0	0	0	1																										100	85	75	-50	-40	-33	10	5	5	5	5	5	10	5	5	5	5	5	10	5	100	5	5	5	2				36	36	36		35	70	67	37	50	140	89	50	140	270	0	0	0	35	70	67	37	50	140	89	50	140	270	0	0	0	35	70	67	37	50	140	89	50	140	270	0	0	0																																											Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C				0	0	0	0	0
fallen5	23	fallen5		4	WarpedFallen	fallen5		fallen	Fallen		FA  	1							fallen5		1	1	1	1	4	6	0	11	13	1	75	75	75	fallen	fallen	10	15	14	13				75	80	80	30	30	30	90	95	99	40	45	50																					0	0	1	1	0	0	1	0	0	0	1	0	1	0		1	1			0	0	0	0	1																										100	85	75	-50	-40	-33	70	60	60	60	60	60	86	76	76	76	76	76	60	85	85	85	85	85	3				49	49	49		35	70	85	27	40	110	81	40	110	92	0	0	0	35	70	85	27	40	110	81	40	110	92	0	0	0	35	70	85	27	40	110	81	40	110	92	0	0	0																																											Act 5 H2H C	Act 5 Champ C	Act 5 Unique C		Act 5 (N) H2H C	Act 5 (N) Champ C	Act 5 (N) Unique C		Act 5 (H) H2H C	Act 5 (H) Champ C	Act 5 (H) Unique C				0	0	0	0	0
