skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Jab	10	ama	jab	5	7																																																																									amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																	1	3		h2h		spea										SQ	A1	xx	1		1	1		1	1								1										(skill('Jab'.blvl) < 100) ? (skill('Jab'.blvl)/50+1) : ((skill('Jab'.blvl)-50)/25+1)	10	250													1						1	6	8	2											ln34 + (skill('Impale'.blvl) + skill('Fend'.blvl)) * par8 / 250	dmg%											-15	Percent damage base	3	Percent damage per level							125	damage synergy	1	10	5						8	128																																			64	125
Cold Arrow	11	ama	cold arrow	4										coldarrow	1																																																																												11					coldarrow													1	4		rng		miss										A1	A1	xx				1																					(skill('Cold Arrow'.blvl) < 100) ? (skill('Cold Arrow'.blvl)/50+1) : ((skill('Cold Arrow'.blvl)-50)/25+1)	30	250												2	1		1				1	6	12	2	1																																50	damage synergy	1	10	5						8	128														cold	4	2	4	6	10	20	4	2	4	6	10	20	(skill('Ice Arrow'.blvl) + skill('Freezing Arrow'.blvl)) * par8 / 250	100	20	20	20				96	375
Multiple Shot	12	ama	multiple shot	4	8										1		multipleshotarrow	multipleshotbolt																																																																									11	17					multipleshotarrow	multipleshotbolt											1	7		rng		miss										A1	A1	xx				1																					(skill('Multiple Shot'.blvl) < 100) ? (skill('Multiple Shot'.blvl)/50+1) : ((skill('Multiple Shot'.blvl)-50)/25+1)	40	250					Magic Arrow							8	1		1				1	8	8	2	1										"min(24,par1 + lvl/par2)"	# missiles	par3	activation frame	2 + skill('Multiple Shot'.blvl) / 80	triggered			2	number of arrows to fire	5	additional arrow per N levels	1	Acivation frame of arrows.											1								8	96																																			96	375
Dodge	13	ama	dodge																																											dodge		passive_dodge	"min(par2, par1 + lvl / 4)"																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																									(skill('Dodge'.blvl) < 100) ? (skill('Dodge'.blvl)/50+1) : ((skill('Dodge'.blvl)-50)/25+1)	40	250													1						0	8	0	0	1						1												10	min % dodge	80	max % dodge													1								8																																				96	375
Power Strike	14	ama	power strike	6	2																																																																																																								1	4		h2h		spea										A1	A1	xx				1		1	1								1										(skill('Power Strike'.blvl) < 100) ? (skill('Power Strike'.blvl)/50+1) : ((skill('Power Strike'.blvl)-50)/25+1)	25	250					Jab								1						1	6	8	2	1																																40	damage synergy	1	10	5						8	128														ltng	2	6	12	18	24	30	24	12	24	36	48	60	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8 / 250								96	375
Poison Javelin	15	ama	poison javelin	4										poisonjav																																																															amazon_cast_poison		1												11					poisonjav													1	2		rng		jave										TH	TH	xx				1																					(skill('Poison Javelin'.blvl) < 100) ? (skill('Poison Javelin'.blvl)/50+1) : ((skill('Poison Javelin'.blvl)-50)/25+1)	35	250													1						1	6	16	2	1																																100	damage synergy	1								4	128														pois	3	2	3	4	5	6	4	2	3	4	5	6	(skill('Plague Javelin'.blvl)) * par8 / 250	75							96	375
Exploding Arrow	16	ama	exploding arrow	4										explodingarrow	1																																																																												11					explodingarrow													1	5		rng		miss										A1	A1	xx				1																					(skill('Exploding Arrow'.blvl) < 100) ? (skill('Exploding Arrow'.blvl)/50+1) : ((skill('Exploding Arrow'.blvl)-50)/25+1)	60	250					Fire Arrow	Multiple Shot						4	1		1				1	7	10	2	1																																50	damage synergy	1	10	5						8	128														fire	4	4	6	8	12	20	8	4	6	8	12	20	(skill('Fire Arrow'.blvl) + skill('Immolation Arrow'.blvl)) * par8 / 250								128	1000
Slow Missiles	17	ama	slow missiles		6																50563		slowmissiles	ln34	ln56	skill_handofathena	ln12																																																		amazon_handofathena											cast_slowmissiles																					1	8		none												SC	SC	xx					4												1						amazon_handofathena	cast_slowmissiles	(skill('Slow Missiles'.blvl) < 100) ? (skill('Slow Missiles'.blvl)/50+1) : ((skill('Slow Missiles'.blvl)-50)/25+1)	50	250					Inner Sight														1	7	10	0	1																		33	% velocity for missiles	0	% velocity per level	300	duration	30	duration per level	20	radius of effect	0	radius per level					1								8																																				128	1000
Avoid	18	ama	avoid																																											avoid		passive_avoid	"min(par2, par1 + lvl / 4)"																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																									(skill('Avoid'.blvl) < 100) ? (skill('Avoid'.blvl)/50+1) : ((skill('Avoid'.blvl)-50)/25+1)	60	250					Dodge								1						0	8	0	0	1						1												10	min % avoid	80	max % avoid													1								8																																				128	1000
Impale	19	ama	impale	7	2																																																																								amazon_impale_1		1	1																													1	6		h2h		spea										SQ	A1	xx	8		1	1		1	1								1										(skill('Impale'.blvl) < 100) ? (skill('Impale'.blvl)/50+1) : ((skill('Impale'.blvl)-50)/25+1)	50	250					Jab								1						1	8	3	0	1										ln12 + (skill('Jab'.blvl) + skill('Fend'.blvl)) * par8 / 250	dm%	par6-dm34	dur loss chance	par5	dur loss			50	Percent damage	6	% damage per level	0	% chance durability loss delta min	30	% chance durability loss delta max	1	durability loss	50	% max chance durability loss			125	damage synergy	1	25	7						8	128																																			128	1000
Lightning Bolt	20	ama	lightning bolt	4										lightningjavelin																																																																													11					lightningjavelin													1	6		rng		jave										TH	TH	xx																									(skill('Lightning Bolt'.blvl) < 100) ? (skill('Lightning Bolt'.blvl)/50+1) : ((skill('Lightning Bolt'.blvl)-50)/25+1)	55	250					Poison Javelin								1						1	6	24	2	1																																40	damage synergy	1								8	128														ltng	3	8	16	24	32	40	60	12	20	28	36	44	(skill('Lightning Strike'.blvl)+skill('Power Strike'.blvl)+skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8 /250								128	1000
Ice Arrow	21	ama	ice arrow	4										icearrow	1																																																																												11					icearrow													1	6		rng		miss										A1	A1	xx				1																					(skill('Ice Arrow'.blvl) < 100) ? (skill('Ice Arrow'.blvl)/50+1) : ((skill('Ice Arrow'.blvl)-50)/25+1)	70	250					Cold Arrow							4	1		1				1	6	16	2	1																																50	damage synergy	1	20	5						8	128														cold	6	3	6	9	12	20	10	3	6	9	12	20	(skill('Cold Arrow'.blvl) + skill('Freezing Arrow'.blvl)) * par8 / 250	50	5	5	5				160	2000
Guided Arrow	22	ama	guided arrow	4	10										1		guidedarrow	guidedarrow	guidedarrow																																																																								11	18					guidedarrow	guidedarrow	guidedarrow										1	4		rng		miss										A1	A1	xx				1																					(skill('Guided Arrow'.blvl) < 100) ? (skill('Guided Arrow'.blvl)/50+1) : ((skill('Guided Arrow'.blvl)-50)/25+1)	80	250					Cold Arrow	Multiple Shot							1		1				1	6	32	-1	1										ln34 + (skill('Magic Arrow'.blvl) + skill('Multiple Shot'.blvl) + skill('Strafe'.blvl)) * par8 / 250	dmg%											10	Damage percent	5	damage % per level							125	damage synergy	1								8	128																																			160	2000
Penetrate	23	ama	penetrate																																											penetrate		item_tohit_percent	ln12																																																												1	1		rng		spea	miss											xx																									(skill('Penetrate'.blvl) < 100) ? (skill('Penetrate'.blvl)/50+1) : ((skill('Penetrate'.blvl)-50)/25+1)	80	250					Critical Strike								1						0	8	0	0	1						1												30	add % to hit with missiles base	5	add % to hit with missiles/level													1								8																																				160	2000
Charged Strike	24	ama	charged strike	6	11												chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																									19					chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		spea										A1	A1	xx				1		1	1								1										(skill('Charged Strike'.blvl) < 100) ? (skill('Charged Strike'.blvl)/50+1) : ((skill('Charged Strike'.blvl)-50)/25+1)	75	250					Power Strike	Lightning Bolt							1						1	6	16	2	1										par1+lvl/par2	# bolts							8	Bolts to send out	20	Additional bolts per N levels											40	damage synergy	1								8	128														ltng	3	12	24	36	48	60	36	12	24	36	48	60	(skill('Lightning Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8 / 250								160	2000
Plague Javelin	25	ama	plague javelin	4										plaguejavelin																																																															amazon_cast_poison		1												11					plaguejavelin													1	3		rng		jave										TH	TH	xx				1																					(skill('Plague Javelin'.blvl) < 100) ? (skill('Plague Javelin'.blvl)/50+1) : ((skill('Plague Javelin'.blvl)-50)/25+1)	70	250					Lightning Bolt							20	1				1		1	8	7	2	1																																100	damage synergy	1	30	5						4	128														pois	8	3	6	12	18	24	24	3	6	12	18	24	(skill('Poison Javelin'.blvl)) * par8 / 250	75							160	2000
Strafe	26	ama	strafe	8	12												strafearrow	strafebolt							par5																																																				amazon_dodge_1					paladin_charge									13	20					multipleshotarrow	multipleshotbolt											1	0		rng		miss										A1	A1	xx				1																					(skill('Strafe'.blvl) < 100) ? (skill('Strafe'.blvl)/50+1) : ((skill('Strafe'.blvl)-50)/25+1)	100	250					Guided Arrow							7	1		1				1	8	12	3											"min(par3 + lvl/10, par4)"	#missiles	ln12 + (skill('Magic Arrow'.blvl) + skill('Multiple Shot'.blvl) + skill('Guided Arrow'.blvl)) * par8 / 250	damage %	par3+lvl/100	min # missiles			5	Damage increase	5	Damage increase per level	3	Base Shots to take (+1 per level)	12	Max shots to take	25	Radius	50	% frame rollback			125	damage synergy	1								8	96																																			192	4000
Immolation Arrow	27	ama	immolation arrow	4										immolationarrow	1																																																																												11					immolationarrow													1	6		rng		miss										A1	A1	xx				1																					(skill('Immolation Arrow'.blvl) < 100) ? (skill('Immolation Arrow'.blvl)/50+1) : ((skill('Immolation Arrow'.blvl)-50)/25+1)	90	250					Exploding Arrow							5	1		1				1	8	6	2	1										par1	fire disc radius	par2	damage radius					3	Fire disc radius	3	Radial Damage Radius											50	damage synergy	1	30	5						8	128														fire	15	10	20	30	40	50	30	10	20	30	40	50	(skill('Fire Arrow'.blvl) + skill('Exploding Arrow'.blvl)) * par8 / 250								192	4000
Dopplezon	28	ama	dopplezon		15																	dopplezon				fireresist	"min(lvl,85)"	lightresist	"min(lvl,85)"	coldresist	"min(lvl,85)"	poisonresist	"min(lvl,85)"	magicresist	"min(lvl,85)"																									dopplezon	dopplezon	1	NU												dopllezon_appear		amazon_valkyrie_cast																																1	4		none												SC	SC	xx					4																				(skill('Dopplezon'.blvl) < 100) ? (skill('Dopplezon'.blvl)/50+1) : ((skill('Dopplezon'.blvl)-50)/25+1)	95	250					Slow Missiles														1	6	76	-3	1										lvl*par4	bonus hp%	ln12	duration	par3	%hp of caster			250	duration of decoy	125	duration per level	50	percent hitpoints of caster	2	hp % bonus per level									1								8																																				192	4000
Evade	29	ama	evade																																											evade		passive_evade	"min(par2, par1 + lvl / 4)"																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																									(skill('Evade'.blvl) < 100) ? (skill('Evade'.blvl)/50+1) : ((skill('Evade'.blvl)-50)/25+1)	90	250					Avoid								1						0	8	0	0	1						1												10	min % evade	80	max % evade													1								8																																				192	4000
Fend	30	ama	fend	9	13																																																																									amazon_jab_1	1												14	21																	1	0		h2h		spea										A1	A1	xx	9		1			1	1								1										(skill('Fend'.blvl) < 100) ? (skill('Fend'.blvl)/50+1) : ((skill('Fend'.blvl)-50)/25+1)	100	250					Impale								1						1	8	5	0											12	max targets	ln34 + (skill('Jab'.blvl) + skill('Impale'.blvl)) * par8 / 250	damage %					1	additional target/level	60	% frame rollback	30	% damage percent	5	damage % per level							125	damage synergy	1	40	10						8	128																																			192	4000
Freezing Arrow	31	ama	freezing arrow	4										freezingarrow	1																																																																												11					freezingarrow													1	7		rng		miss										A1	A1	xx				1																					(skill('Freezing Arrow'.blvl) < 100) ? (skill('Freezing Arrow'.blvl)/50+1) : ((skill('Freezing Arrow'.blvl)-50)/25+1)	110	250					Ice Arrow							4	1		1				1	8	9	2	1										par1	damage radius							8	Radius of impact											1	length synergy	50	damage synergy	1	20	5						8	128														cold	40	5	10	15	20	25	50	5	10	15	20	25	(skill('Cold Arrow'.blvl) + skill('Ice Arrow'.blvl)) * par8 / 250	50	5	5	5				224	8000
Valkyrie	32	ama	valkyrie		16																					fireresist	"min(85, (skill('Dopplezon'.blvl) + 5) / 2)"	lightresist	"min(85, (skill('Dopplezon'.blvl) + 5) / 2)"	coldresist	"min(85, (skill('Dopplezon'.blvl) + 5) / 2)"	poisonresist	"min(85, (skill('Dopplezon'.blvl) + 5) / 2)"	magicresist	"min(85, (skill('Dopplezon'.blvl) + 5) / 2)"													item_armor_percent	par3 * (lvl - 1)	tohit	toht	strength	lvl * par2	dexterity	lvl * par4					valkyrie	valkyrie	1	NU	dodge	skill('Dodge'.blvl)	avoid	skill('Avoid'.blvl)	Evade	skill('Evade'.blvl)	Critical Strike	skill('Critical Strike'.blvl)						amazon_valkyrie_cast																																1	6		none												SC	SC	xx					4																				(skill('Valkyrie'.blvl) < 100) ? (skill('Valkyrie'.blvl)/50+1) : ((skill('Valkyrie'.blvl)-50)/25+1)	120	250					Dopplezon	Evade						150							1	8	25	8	1	1									par1 * (lvl - 1) + skill('Dopplezon'.blvl) * par8 / 250	bonus hp%	ln56	itemlevel					5	% hitpoints more per level	25	str per level	10	% AC increase per level	10	dex per level	25	Magic Item level	3	Magic Item level per level	2	resistances	250	hp synergy	1			40*lvl+40*skill('Penetrate'.blvl)					8																																				224	8000
Pierce	33	ama	pierce																																											pierce		skill_pierce	"min(par2, par1 + lvl / 3)"																																																												1	0		rng		miss												xx																									(skill('Pierce'.blvl) < 100) ? (skill('Pierce'.blvl)/50+1) : ((skill('Pierce'.blvl)-50)/25+1)	115	250					Penetrate								1						0	8	0	0	1	1					1												10	min % chance	100	max % chance													1								8																																				224	8000
Lightning Strike	34	ama	lightning strike	10	14												lightningstrike	lightningstrike	lightningstrike						par1																																																																			22					lightningstrike	lightningstrike	lightningstrike										1	8		h2h		spea										A1	A1	xx				1		1	1								1										(skill('Lightning Strike'.blvl) < 100) ? (skill('Lightning Strike'.blvl)/50+1) : ((skill('Lightning Strike'.blvl)-50)/25+1)	110	250					Charged Strike								1						1	8	9	0	1										20	radius	"min(10, par3 + lvl/par4)"	hits					10	radius of jump to next target			2	Target hits	10	Target hits per N levels							30	damage synergy	1								8	128														ltng	5	15	30	45	60	75	75	15	30	45	60	75	(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Fury'.blvl)) * par8 / 250								224	8000
Lightning Fury	35	ama	lightning fury	4										lightningfury							42371				par3																																																																		11					lightningfury													1	8		rng		jave										TH	TH	xx																									(skill('Lightning Fury'.blvl) < 100) ? (skill('Lightning Fury'.blvl)/50+1) : ((skill('Lightning Fury'.blvl)-50)/25+1)	120	250					Plague Javelin								1						1	7	20	2	1										par1 + lvl/par2	num targets							2	lightning spells from target	10	extra spells per N levels	20	Target search radius									30	damage synergy	1								8	128														ltng	3	15	30	45	60	75	120	15	30	45	60	75	(skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Strike'.blvl)) * par8 / 250								224	8000
Fire Bolt	36	sor	fire bolt											firebolt																																																															sorceress_cast_fire											fire_cast_1								firebolt													1	2		none												SC	SC	xx																	1						sorceress_cast_fire		(skill('Fire Bolt'.blvl) < 100) ? (skill('Fire Bolt'.blvl)/50+1) : ((skill('Fire Bolt'.blvl)-50)/25+1)	5	250													1						1	8	5	1	1																																50	damage synergy	1								8															fire	20	10	20	30	40	50	30	10	20	30	40	50	(skill('Fire Ball'.blvl) + skill('Meteor'.blvl)) * par8 / 250								64	125
Warmth	37	sor	warmth																																											warmth		manarecoverybonus	ln12																																																												1	0		none												SC	SC	xx																									(skill('Warmth'.blvl) < 100) ? (skill('Warmth'.blvl)/50+1) : ((skill('Warmth'.blvl)-50)/25+1)	10	250													1						0	8	0	0	1	1					1												20	increase in mana recovery	10	additional increase/level													1								8															fire																					64	125
Charged Bolt	38	sor	charged bolt		17												chargedbolt	chargedbolt	chargedbolt																																																										sorceress_cast_lightning											light_cast_1				23					chargedbolt												1	1		none												SC	SC	xx																	1						sorceress_cast_lightning		(skill('Charged Bolt'.blvl) < 100) ? (skill('Charged Bolt'.blvl)/50+1) : ((skill('Charged Bolt'.blvl)-50)/25+1)	20	250													1						1	7	12	3	1										"min(16,par1+lvl/par2)"	# bolts							5	Bolts to send out	15	Additional bolt per N levels											50	damage synergy	1								8															ltng	6	2	4	6	8	10	24	6	10	14	18	22	(skill('Lightning'.blvl) + skill('Chain Lightning'.blvl)) * par8 / 250								64	125
Ice Bolt	39	sor	ice bolt											icebolt																																																															sorceress_cast_cold											ice_cast_1								icebolt													1	5		none												SC	SC	xx																	1						sorceress_cast_cold		(skill('Ice Bolt'.blvl) < 100) ? (skill('Ice Bolt'.blvl)/50+1) : ((skill('Ice Bolt'.blvl)-50)/25+1)	15	250													1						1	8	6	1	1																																40	damage synergy	1								8															cold	12	8	16	24	32	40	20	8	16	24	32	40	(skill('Ice Blast'.blvl) + skill('Glacial Spike'.blvl) + skill('Blizzard'.blvl) + skill('Frozen Orb'.blvl)) * par8 / 250	150	25	25	25				64	125
Frozen Armor	40	sor	frozen armor		18																	frozenarmor		ln34 + (skill('Shiver Armor'.blvl) + skill('Chilling Armor'.blvl)) * par7		skill_armor_percent	ln12											damagedinmelee	2																																						sorceress_cast_cold				sorceress_frozenarmor							ice_cast_1	frozenarmor_hit																				1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_1	(skill('Frozen Armor'.blvl) < 100) ? (skill('Frozen Armor'.blvl)/50+1) : ((skill('Frozen Armor'.blvl)-50)/25+1)	20	250																			1	8	20	5	1	1									ln56 * (100 + ((skill('Shiver Armor'.blvl) + skill('Chilling Armor'.blvl)) * par8 / 256)) / 100	freeze length							30	% AC base	10	% AC per level	3000	Duration	300	Duration per level	50	Freeze Frames	5	Freeze Frames per level	25	duration synergy	50	freeze synergy	1								8																																		1		64	125
