Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword73	Lightning	1		staf									r13	r12	r04	r09			swing3		100	150	dmg-max		20	40	hit-skill	66	5	10	dmg-ltng		40	480	skilltab	5	5	5	hit-skill	38	7	15	rep-dur	10			0
Runeword74	Lionheart	1		tors									r15	r17	r19				str		15	15	vit		20	20	dex		15	15	dmg%		20	20	hp		50	50	res-all		30	30					0
Runeword75	Lore	1		helm									r09	r12					enr		10	10	allskills		1	1	light		2	2	mana-kill		2	2	dmg-to-mana		20	20	rep-dur	5			dmg-ltng		8	100	0
Runeword77	Loyalty	1		bow									r31	r10	r11				slow		30	50	lifesteal		5	8	dmg-cold	150	30	50	pierce		60	80	knock		1	1	rep-dur	5			allskills		3	3	0
Runeword78	Lust	1		tors									r15	r16	r22	r04	r24		mag%		30	30	vit		25	25	ease		-30	-30	res-all		30	30	ac-miss		200	200	rep-dur	5			allskills		2	2	0
Runeword79	Madness	1		helm									r16	r14					vit		50	50	howl		100	100	balance2		50	50	regen		-10	-10	mag%		-30	-30	rep-dur	5			enr		60	60	0
Runeword81	Malice	1		mele									r06	r01	r05				openwounds		100	100	dmg-ac		-100	-100	noheal		1	1	dmg%		33	33	light		-1	-1	regen		-5	-5	rep-dur	10			0
Runeword82	Melody	1		miss									r13	r18	r04				dmg%		50	50	skilltab		3	3	skill	9	3	3	skill	13	3	3	skill	17	3	3	dmg-undead		300	300					0
Runeword83	Memory	1		staf									r17	r16	r12	r05			mana%		20	20	red-mag		12	12	ac%		50	50	cast2		33	33	sor		3	3	skill	58	3	3	skill	42	2	2	0
Runeword84	Mist	1		glov									r04	r06					dmg-max		20	30	hit-skill	66	5	10	hit-skill	38	7	8	stupidity		1	1	dmg-min		10	20	rep-dur	10							0
Runeword85	Morning Dew	1		glov	mace								r23	r27	r25				hit-skill	66	5	10	dmg%		300	300	ignore-ac		1	1	knock		1	1	att-skill	53	5	20	rep-dur	10			allskills		1	1	0
Runeword86	Mystery	1		miss									r29	r14	r06	r04	r12		hit-skill	62	5	10	howl		50	100	dmg-min		50	50	dmg-max		100	100	hit-skill	66	5	10	pierce		1	1	knock		1	1	0
Runeword87	Myth	1		shld									r11	r23	r02	r04			red-mag		20	50	thorns		30	60	block		12	12	ac-miss		200	200	rep-dur	5			move1		20	20	ac		100	100	0
Runeword88	Nadir	1		helm									r04	r03					ac%		50	50	ac		10	10	light		-3	-3	charged	264	9	13	gold%		-33	-33	str		5	5	rep-dur	10			0
Runeword89	Nature's Kingdom	1		pelt									r31	r14	r11				hp%		30	30	hp		100	100	regen		10	10	lifesteal		5	5	thorns		20	20	move2		30	30	dru		3	3	0
Runeword90	Nightfall	1		belt									r30	r05					red-dmg%		20	20	light		-5	-5	regen		-5	-5	regen-mana		10	10	enr		20	20	dmg-to-mana		25	25	rep-dur	10			0
Runeword91	Oath	1		shld									r21	r06	r02	r22			res-all		30	30	ac%		30	30	block		25	25	dmg-to-mana		30	30	rep-dur	5			move2		30	30					0
Runeword92	Obedience	1		blun									r30	r04	r23	r12			dmg-min		40	40	crush		20	50	hit-skill	66	5	10	hit-skill	66	5	10	hit-skill	42	5	10	rep-dur	10			dmg-max		120	120	0
Runeword93	Oblivion	1		mele									r04	r02	r13				dmg-max		50	50	dmg-ac		-100	-100	swing3		80	100	att-undead		300	300	dmg-undead		300	300	rep-dur	10			allskills		1	1	0
Runeword94	Obsession	1		circ									r29	r14	r12				mana%		100	100	regen		10	10	red-dmg		30	30	cast3		100	100	sor		3	3	rep-dur	10			regen-mana		30	30	0
Runeword95	Passion	1		tors									r18	r19	r14	r05			bar		3	3	str		20	20	regen		12	12	regen-mana		30	30	rep-dur	10			ac		200	200	move1		20	20	0
Runeword96	Patience	1		miss									r02	r04					hit-skill	66	5	10	att-undead		100	100	dmg-undead		150	150	pierce		20	40													0
Runeword97	Pattern	1		boot									r11	r04					thorns		20	30	ac-miss		50	50	move2		20	40	rep-dur	10			light		3	3	allskills		1	1					0
Runeword98	Peace	1		helm									r13	r14	r05				balance2		30	30	regen		10	10	regen-mana		30	30	light		5	5	rep-dur	10			vit		40	40					0
Runeword100	Penitence	1		belt									r10	r07					res-cold		40	40	res-pois		40	40	cast3		40	40	rep-dur	10			vit		-30	-30	str		-30	-30	res-fire		50	50	0
Runeword101	Peril	1		miss									r25	r32	r30	r04			dmg%		10	20	att%		10	30	crush		50	80	swing3		100	100	pierce		1	1	ac		1	1	dmg-fire		50	300	0
Runeword102	Pestilence	1		pole									r07	r13	r14	r22	r23		dmg-pois	50	500	500	swing3		100	150	howl		50	80	openwounds		100	100	hit-skill	66	5	10	light		-3	-3	regen		-5	-5	0
Runeword103	Phoenix	1		mele									r10	r09	r08	r11	r07		crush		60	90	dmg-fire		250	500	dmg-ltng		50	500	dmg-cold	150	80	160	hit-skill	53	7	15	hit-skill	56	7	15	hit-skill	64	7	15	0
Runeword104	Piety	1		glov									r01	r04					hit-skill	38	5	5	light		1	2	att		50	100	rep-dur	5			pal		1	1	dmg-max		4	4	dmg-min		1	1	0
Runeword105	Pillar of Faith	1		tors									r21	r22	r23	r14			regen		10	10	red-mag		30	30	res-all		30	30	ac%		50	50	rep-dur	5			light		5	5	pal		2	2	0
Runeword106	Plague	1		weap									r07	r31	r25				slow		40	40	ignore-ac		1	1	dmg-pois	100	500	500	rep-dur	10			hit-skill	83	5	15	nec		3	3	enr		20	30	0
Runeword107	Praise	1		helm									r05	r03					regen-mana		10	10	mana-kill		3	3	light		2	2	rep-dur	5															0
Runeword108	Prayer	1		glov									r27	r28	r13				dmg%		100	100	deadly		50	100	swing3		100	100	rep-dur	10			hit-skill	101	5	15	light		3	3	ignore-ac		1	1	0
Runeword109	Pride	1		tors									r11	r04	r05				thorns		20	50	ac-miss		75	150	regen-mana		30	60	light		3	3	rep-dur	10			ac/lvl	8			hp%		15	30	0
Runeword110	Principle	1		belt									r03	r14					regen		10	10	mana-kill		5	5	light		2	2	gethit-skill	38	15	10	rep-dur	5			ac/lvl	8							0
Runeword111	Prowess in Battle	1		glov									r25	r13	r27				att%		100	100	swing3		40	80	dmg%		100	100	knock		1	1	rep-dur	5			ama		1	1	stupidity		1	1	0
Runeword112	Prudence	1		glov									r19	r18					str		40	40	dex		40	40	cast2		30	30	half-freeze		1	1	rep-dur	5											0
Runeword113	Punishment	1		blun									r04	r29	r28	r22			openwounds		75	100	deadly		75	100	dmg-norm		100	600	hit-skill	38	5	15	hit-skill	76	5	15	rep-dur	5			dmg/lvl	4			0
Runeword114	Purity	1		circ									r33	r22	r14				res-all		30	30	regen		10	10	ac		20	30	ac%		20	30	hp%		20	30	light		5	5	mana%		20	30	0
Runeword115	Question	1		miss									r14	r23	r15	r22			hit-skill	74	5	10	howl		100	100	ease		-30	-30	openwounds		100	100	knock		1	1	pierce		30	60	freeze		1	2	0
Runeword116	Radiance	1		helm									r04	r12	r06				light		5	5	enr		10	10	vit		10	10	red-mag		3	3	mana		33	33	ac%		75	75	rep-dur	5			0
Runeword117	Rain	1		miss									r25	r22	r13				swing3		100	200	openwounds		100	100	att%		30	40	hit-skill	240	5	10	dmg-max		20	30	rep-dur	5							0
Runeword118	Reason	1		helm									r03	r13					balance2		30	30	mana-kill		4	4	light		3	3	rep-dur	5			enr		20	20	ac-miss		50	50					0
Runeword119	Red	1		orb									r08	r05					dmg-fire		20	60	res-fire		20	30	regen-mana		15	20	rep-dur	5			knock		1	1									0
Runeword120	Rhyme	1		shld									r13	r05					block2		20	20	block		10	20	res-all		5	10	nofreeze		1	1	gold%		50	50	mag%		25	25					0
Runeword121	Rift	1		wand									r07	r13					swing3		80	160	dmg-pois	25	200	200	knock		1	1	rep-dur	5			nec		1	1	hit-skill	74	5	20					0
Runeword122	Sanctuary	1		shld									r12	r23	r14				red-dmg		20	20	red-mag		20	20	regen		10	10	light		3	3	gethit-skill	101	15	15	rep-dur	5							0
Runeword123	Serendipity	1		miss									r14	r08	r05				howl		100	100	dmg-fire		30	60	reduce-ac		-100	-100	explosivearrow		1	1	pierce		20	40									0
Runeword124	Shadow	1		boot									r13	r04					block2		20	20	ac-miss		50	50	move2		40	60	stamdrain		15	15	rep-dur	5											0
Runeword125	Shadow of Doubt	1		helm									r12	r01					red-dmg		20	20	att		75	75	light		2	2	rep-dur	5			ac/lvl	4											0
Runeword126	Silence	1		weap									r14	r02	r15	r24	r03	r26	manasteal		4	4	stupidity		33	33	dmg%		200	200	swing2		30	30	res-all		75	75	allskills		2	2	balance2		20	20	0
Runeword127	Siren's Song	1		miss									r31	r29	r02				slow		50	50	dmg-norm		50	300	att-undead		100	100	dmg-undead		150	150	knock		1	1	ama		2	2	pierce		1	1	0
Runeword128	Smoke	1		tors									r04	r17					ac-miss		250	250	ac%		75	75	res-all		50	50	balance2		20	20	light		-1	-1	charged	72	18	6					0
Runeword129	Sorrow	1		head									r05	r14	r04				howl		30	50	regen-mana		20	40	ac-miss		100	100	cast2		30	50	ac		50	50	rep-dur	5			nec		1	1	0
Runeword130	Spirit	1		phlm									r04	r13	r25				bar		2	2	ac-miss		100	100	balance3		50	50	res-pois-max		10	15	light		3	3	rep-dur	5							0
Runeword131	Splendor	1		staf									r30	r03	r04	r26			manasteal		10	10	crush		50	80	hit-skill	38	5	15	mana-kill		5	5	light		3	3	hit-skill	44	7	20	sor		2	2	0
Runeword132	Starlight	1		circ									r02	r26	r20				res-fire-max		10	20	stamdrain		30	30	gold%		100	100	light		5	5	dmg-fire		40	80	rep-dur	5							0
Runeword133	Stealth	1		tors									r07	r05					red-mag		5	5	dex		15	15	stam		15	15	move2		15	15	cast2		15	15	balance2		15	15					0
Runeword134	Steel	1		swor	axe	mace							r03	r01					mana-kill		2	3	light		1	2	att		75	125	rep-dur	5			dmg-min		3	3	dmg-max		5	8					0
Runeword135	Still Water	1		belt									r32	r12					freeze		1	2	dmg-min		30	30	dmg-max		30	30	nofreeze		1	1	move2		30	50	rep-dur	5							0
Runeword136	Sting	1		swor									r21	r22	r14				att-demon		150	300	openwounds		100	100	dmg-dem/lvl	4			howl		30	50	demon-heal		10	20	rep-dur	5							0
Runeword137	Stone	1		glov									r10	r30	r13				swing3		100	200	crush		30	60	dmg-cold	300	30	90	light		3	3	slow		20	30	nofreeze		1	1	rep-dur	5			0
Runeword138	Storm	1		glov									r09	r30	r13				swing3		100	200	crush		30	60	dmg-ltng		15	180	light		3	3	stupidity		1	1	rep-dur	5			hit-skill	53	5	15	0
Runeword139	Strength	1		mele									r11	r03					str/lvl	4			dmg%		10	10	vit		10	10																	0
Runeword140	Tempest	1		staf									r28	r13	r04	r14			howl		50	80	hit-skill	42	5	15	swing3		50	100	deadly		50	100	hit-skill	240	5	15	rep-dur	5							0
Runeword141	Temptation	1		helm									r01	r20	r31				hp%		50	100	light		3	3	att		100	100	gold%		100	100	regen		-5	-5	rep-dur	5			mag%		-10	-10	0
Runeword142	Terror	1		wand									r14	r07					nec		1	1	howl		100	100	dmg-pois	25	300	300	rep-dur	5			stupidity		1	1									0
Runeword4	The Beast	1		pelt									r14	r22	r04				regen		10	15	res-all		20	20	ac-miss		50	100	dru		3	3	cast2		40	40	rep-dur	5							0
Runeword76	The Lovers	1		tors									r11	r10	r09	r08	r07		res-all		30	30	thorns		20	20	light		3	3	regen		10	10	cast2		30	30	indestruct		1	1					0
Runeword143	Thirst	1		rod									r11	r14					lifesteal		12	12	howl		60	80	bloody		3	3	rep-dur	5			regen		-5	-5	manasteal		6	6					0
Runeword68	Thirst for Knowledge	1		staf									r26	r03	r24				mag%		30	30	manasteal		10	10	mana-kill		5	5	allskills		2	2	knock		1	1	rep-dur	5							0
Runeword144	Thought	1		circ									r05	r13	r06				regen-mana		30	30	dmg-to-mana		25	25	balance3		40	40	mana		50	50	sor		1	1	rep-dur	5							0
Runeword145	Thunder	1		hamm									r04	r09	r26	r28			manasteal		10	10	hit-skill	42	5	15	deadly		50	100	dmg-ltng		16	400	hit-skill	48	7	20	rep-dur	5			dmg-max		20	40	0
Runeword146	Time	1		tors									r31	r13	r15				slow		75	90	swing3		80	120	move3		60	100	ease		-20	-20	charged	258	50	10	charged	17	50	10	rep-dur	5			0
Runeword147	Tradition	1		mele									r25	r12	r06	r23			hit-skill	74	5	10	dmg-max		50	50	dmg-min		25	25	ignore-ac		1	1	knock		1	1	rep-dur	5							0
Runeword148	Treachery	1		glov									r07	r14	r18				dex		30	30	howl		30	60	dmg-pois	100	400	400	light		-3	-3	dur	20			regen		-3	-3	mag%		-10	-10	0
Runeword149	Trust	1		ashd									r21	r19	r13	r11			thorns		24	24	block3		40	40	str		30	30	ac%		30	30	light		5	5	res-all		20	20	rep-dur	5			0
Runeword150	Truth	1		mele									r33	r13	r04	r29	r30	r22	openwounds		100	100	dmg-norm		30	180	crush		60	90	swing3		100	200	ignore-ac		1	1	hit-skill	42	5	15	rep-dur	5			0
Runeword151	Unbending Will	1		swor									r10	r27	r28	r32			deadly		60	90	dmg%		50	100	dmg-cold	200	30	60	nofreeze		1	1	balance3		50	50	rep-dur	5			dmg-norm		10	30	0
Runeword152	Valor	1		tors									r30	r31	r29				red-dmg%		50	50	hp%		50	50	mana%		50	50	half-freeze		1	1	res-all		10	10	rep-dur	5							0
Runeword153	Vengeance	1		scep									r10	r09	r08	r13			swing3		50	100	dmg-cold	150	20	40	dmg-fire		30	60	dmg-ltng		10	80	dmg-norm		20	40	pal		1	1	rep-dur	5			0
Runeword154	Venom	1		weap									r07	r14	r23				dmg-pois	175	312	312	ignore-ac		1	1	charged	83	27	15	charged	92	11	13	manasteal		7	7									0
Runeword155	Victory	1		weap									r26	r11	r03	r01			manasteal		10	10	lifesteal		10	10	dmg-norm		10	40	light		2	2	att		100	100	demon-heal		10	10	rep-dur	5			0
Runeword156	Voice	1		pelt									r23	r07	r02				dru		2	2	red-mag		15	15	res-pois		30	30	stamdrain		30	30	light		2	2	rep-dur	5							0
Runeword157	Void	1		belt									r33	r32					dmg-to-mana		20	20	ac		50	100	balance3		50	50	knock		1	1	red-dmg%		15	15	ac		15	15	hp%		10	20	0
Runeword158	War	1		weap									r22	r23	r03	r11			lifesteal		10	10	deadly		25	60	mana-kill		6	6	openwounds		100	100	dmg-norm		50	100	ease		-30	-30	rep-dur	5			0
Runeword159	Water	1		orb									r32	r10					freeze		1	2	dmg-cold	300	50	75	nofreeze		1	1	sor		1	1	light		3	3	res-cold		50	50	rep-dur	5			0
Runeword160	Wealth	1		tors									r20	r18	r03				gold%		250	250	mag%		100	100	dur		10	20																	0
Runeword161	Whisper	1		miss									r29	r27	r14	r04			slow		20	40	dmg%		75	200	howl		60	90	hit-skill	38	5	15	pierce		80	95	ama		3	3	freeze		1	1	0
Runeword162	White	1		wand									r14	r16					skilltab	7	3	3	red-mag		4	4	cast2		20	20	mana		13	13	skill	68	3	3	skill	84	2	2	skill	69	4	4	0
