Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	Term
Runes Good			1					50	r33	10	r32	10	r31	10	r30	10	r29	10											0
Hpotion 1 (N)			1					40	Flawed Gem	5	vps	3	yps	3	wms	3	rvs	2											0
Hpotion 2 (N)			1					40	Flawed Gem	5	vps	3	yps	3	wms	3	rvs	2											0
Hpotion 3 (N)			1					40	Flawed Gem	5	vps	4	yps	4	wms	4	rvs	3											0
Hpotion 4 (N)			1					40	Normal Gem	5	vps	4	yps	4	wms	4	rvs	3											0
Hpotion 5 (N)			1					40	Flawless Gem	5	vps	5	yps	5	wms	5	rvs	4											0
Hpotion 6 (N)			1					40	Perfect Gem	5	vps	5	yps	5	wms	5	rvs	4											0
Potion 1 (N)			1					40	Flawed Gem	5	opl	4	gpl	4	key	2	rvs	2											0
Potion 2 (N)			1					40	Flawed Gem	5	opl	4	gpl	4	key	2	rvs	2											0
Potion 3 (N)			1					40	Flawed Gem	5	opl	6	gpl	6	key	3	rvs	3											0
Potion 4 (N)			1					40	Normal Gem	5	opl	6	gpl	6	key	3	rvs	3											0
Potion 5 (N)			1					40	Flawless Gem	5	opl	8	gpl	8	key	4	rvs	4											0
Potion 6 (N)			1					40	Perfect Gem	5	opl	8	gpl	8	key	4	rvs	4											0
Runes 1 (N)			1					50	Flawed Gem	5	Normal Gem	2																	0
Runes 2 (N)			1					50	Flawed Gem	10	Normal Gem	4	Runes 1 (N)	5															0
Runes 3 (N)			1					50	Normal Gem	10	r06	4	Runes 2 (N)	10															0
Runes 4 (N)			1					50	r07	10	r08	4	Runes 3 (N)	15															0
Runes 5 (N)			1					50	r09	10	r10	4	Runes 4 (N)	20															0
Runes 6 (N)			1					50	r11	10	r12	4	Runes 5 (N)	25															0
Runes 7 (N)			1					50	r13	10	r14	4	Runes 6 (N)	30															0
Runes 8 (N)			1					50	r15	10	r16	4	Runes 7 (N)	35															0
Runes 9 (N)			1					50	r17	10	r18	4	Runes 8 (N)	40															0
Runes 10 (N)			1					50	r19	10	r20	4	Runes 9 (N)	45															0
Runes 11 (N)			1					50	r21	10	r22	4	Runes 10 (N)	50															0
Runes 12 (N)			1					50	r23	10	r24	4	Runes 11 (N)	55															0
Runes 13 (N)			1					50	r25	10	r26	4	Runes 12 (N)	60															0
Runes 14 (N)			1					50	r27	10	r28	4	Runes 13 (N)	65															0
Runes 15 (N)			1					50	r29	10	r30	4	Runes 14 (N)	70															0
Runes 16 (N)			1					50	r31	10	r32	4	Runes 15 (N)	75															0
Runes 17 (N)			1					50	r33	10	Runes 16 (N)	80																	0
Hpotion 1 (H)			1					40	Normal Gem	5	vps	3	yps	3	wms	3	rvs	4	rvl	2									0
Hpotion 2 (H)			1					40	Normal Gem	5	vps	3	yps	3	wms	3	rvs	4	rvl	2									0
Hpotion 3 (H)			1					40	Normal Gem	5	vps	4	yps	4	wms	4	rvs	6	rvl	3									0
Hpotion 4 (H)			1					40	Normal Gem	5	vps	4	yps	4	wms	4	rvs	6	rvl	3									0
Hpotion 5 (H)			1					40	Flawless Gem	5	vps	5	yps	5	wms	5	rvs	8	rvl	4									0
Hpotion 6 (H)			1					40	Perfect Gem	5	vps	5	yps	5	wms	5	rvs	8	rvl	4									0
Potion 1 (H)			1					40	Normal Gem	5	opl	4	gpl	4	key	2	rvs	4	rvl	2									0
Potion 2 (H)			1					40	Normal Gem	5	opl	4	gpl	4	key	2	rvs	4	rvl	2									0
Potion 3 (H)			1					40	Normal Gem	5	opl	6	gpl	6	key	3	rvs	6	rvl	3									0
Potion 4 (H)			1					40	Normal Gem	5	opl	6	gpl	6	key	3	rvs	6	rvl	3									0
Potion 5 (H)			1					40	Flawless Gem	5	opl	8	gpl	8	key	4	rvs	8	rvl	4									0
Potion 6 (H)			1					40	Perfect Gem	5	opl	8	gpl	8	key	4	rvs	8	rvl	4									0
Runes 1 (H)			1					50	Normal Gem	5	Flawless Gem	2																	0
Runes 2 (H)			1					50	Normal Gem	10	Flawless Gem	4	Runes 1 (H)	5															0
Runes 3 (H)			1					50	Normal Gem	10	Flawless Gem	4	Runes 2 (H)	10															0
Runes 4 (H)			1					50	Normal Gem	10	Flawless Gem	4	Runes 3 (H)	15															0
Runes 5 (H)			1					50	Normal Gem	10	Flawless Gem	4	Runes 4 (H)	20															0
Runes 6 (H)			1					50	Flawless Gem	10	r12	4	Runes 5 (H)	25															0
Runes 7 (H)			1					50	r13	10	r14	4	Runes 6 (H)	30															0
Runes 8 (H)			1					50	r15	10	r16	4	Runes 7 (H)	35															0
Runes 9 (H)			1					50	r17	10	r18	4	Runes 8 (H)	40															0
Runes 10 (H)			1					50	r19	10	r20	4	Runes 9 (H)	45															0
Runes 11 (H)			1					50	r21	10	r22	4	Runes 10 (H)	50															0
Runes 12 (H)			1					50	r23	10	r24	4	Runes 11 (H)	55															0
Runes 13 (H)			1					50	r25	10	r26	4	Runes 12 (H)	60															0
Runes 14 (H)			1					50	r27	10	r28	4	Runes 13 (H)	65															0
Runes 15 (H)			1					50	r29	10	r30	4	Runes 14 (H)	70															0
Runes 16 (H)			1					50	r31	10	r32	4	Runes 15 (H)	75															0
Runes 17 (H)			1					50	r33	10	Runes 16 (H)	80																	0
Cscroll 1A			1						x00	5	x01	5	x02	5	x03	5	x04	5	x05	5	x06	5	x07	5	x08	5	x09	5	0
Cscroll 2A			1						x10	5	x11	5	x12	5	x13	5	x14	5	x15	5	x16	5	x17	5	x18	5	x19	5	0
Cscroll 3A			1						x20	5	x21	5	x22	5	x23	5	x24	5	x25	5	x26	5	x27	5	x28	5	x29	5	0
Cscroll 4A			1						x30	5	x31	5	x32	5	x33	5	x34	5	x35	5	x36	5	x37	5	x38	5	x39	5	0
Cscroll 5A			1						x40	5	x41	5	x42	5	x43	5	x44	5	x45	5	x46	5	x47	5	x48	5	x49	5	0
Cscroll 6A			1						x50	5	x51	5	x52	5	x53	5	x54	5	x55	5	x56	5	x57	5	x58	5	x59	5	0
Cscroll 7A			1						x60	5	x61	5	x62	5	x63	5	x64	5	x65	5	x66	5	x67	5	x68	5	x69	5	0
Cscroll 8A			1						x70	5	x71	5	x72	5	x73	5	x74	5	x75	5	x76	5	x77	5	x78	5	x79	5	0
Cscroll 9A			1						x80	5	x81	5	x82	5	x83	5	x84	5	x85	5	x86	5	x87	5	x88	5	x89	5	0
Cscroll 10A			1						x90	5	x91	5	x92	5	x93	5	x94	5	x95	5	x96	5	x97	5	x98	5	x99	5	0
Cscroll A			1						Cscroll 1A	5	Cscroll 2A	5	Cscroll 3A	5	Cscroll 4A	5	Cscroll 5A	5	Cscroll 6A	5	Cscroll 7A	5	Cscroll 8A	5	Cscroll 9A	5	Cscroll 10A	5	0
Cscroll 1B			1						w00	5	w01	5	w02	5	w03	5	w04	5	w05	5	w06	5	w07	5	w08	5	w09	5	0
Cscroll 2B			1						w10	5	w11	5	w12	5	w13	5	w14	5	w15	5	w16	5	w17	5	w18	5	w19	5	0
Cscroll 3B			1						w20	5	w21	5	w22	5	w23	5	w24	5	w25	5	w26	5	w27	5	w28	5	w29	5	0
Cscroll 4B			1						w30	5	w31	5	w32	5	w33	5	w34	5	w35	5	w36	5	w37	5	w38	5	w39	5	0
Cscroll 5B			1						w40	5	w41	5	w42	5	w43	5	w44	5	w45	5	w46	5	w47	5	w48	5	w49	5	0
Cscroll 6B			1						w50	5	w51	5	w52	5	w53	5	w54	5	w55	5	w56	5	w57	5	w58	5	w59	5	0
Cscroll 7B			1						w60	5	w61	5	w62	5	w63	5	w64	5	w65	5	w66	5	w67	5	w68	5	w69	5	0
Cscroll 8B			1						w70	5	w71	5	w72	5	w73	5	w74	5	w75	5	w76	5	w77	5	w78	5	w79	5	0
Cscroll 9B			1						w80	5	w81	5	w82	5	w83	5	w84	5	w85	5	w86	5	w87	5	w88	5	w89	5	0
Cscroll 10B			1						w90	5	w91	5	w92	5	w93	5	w94	5	w95	5	w96	5	w97	5	w98	5	w99	5	0
Cscroll B			1						Cscroll 1B	5	Cscroll 2B	5	Cscroll 3B	5	Cscroll 4B	5	Cscroll 5B	5	Cscroll 6B	5	Cscroll 7B	5	Cscroll 8B	5	Cscroll 9B	5	Cscroll 10B	5	0
Cscroll 1C			1						s00	5	s01	5	s02	5	s03	5	s04	5	s05	5	s06	5	s07	5	s08	5	s09	5	0
Cscroll 2C			1						s10	5	s11	5	s12	5	s13	5	s14	5	s15	5	s16	5	s17	5	s18	5	s19	5	0
Cscroll 3C			1						s20	5	s21	5	s22	5	s23	5	s24	5	s25	5	s26	5	s27	5	s28	5	s29	5	0
Cscroll 4C			1						s30	5	s31	5	s32	5	s33	5	s34	5	s35	5	s36	5	s37	5	s38	5	s39	5	0
Cscroll 5C			1						s40	5	s41	5	s42	5	s43	5	s44	5	s45	5	s46	5	s47	5	s48	5	s49	5	0
Cscroll 6C			1						s50	5	s51	5	s52	5	s53	5	s54	5	s55	5	s56	5	s57	5	s58	5	s59	5	0
Cscroll 7C			1						s60	5	s61	5	s62	5	s63	5	s64	5	s65	5	s66	5	s67	5	s68	5	s69	5	0
Cscroll 8C			1						s70	5	s71	5	s72	5	s73	5	s74	5	s75	5	s76	5	s77	5	s78	5	s79	5	0
Cscroll 9C			1						s80	5	s81	5	s82	5	s83	5	s84	5	s85	5	s86	5	s87	5	s88	5	s89	5	0
Cscroll 10C			1						s90	5	s91	5	s92	5	s93	5	s94	5	s95	5	s96	5	s97	5	s98	5	s99	5	0
Cscroll C			1						Cscroll 1C	5	Cscroll 2C	5	Cscroll 3C	5	Cscroll 4C	5	Cscroll 5C	5	Cscroll 6C	5	Cscroll 7C	5	Cscroll 8C	5	Cscroll 9C	5	Cscroll 10C	5	0
Cscroll 1D			1						X00	5	X01	5	X02	5	X03	5	X04	5	X05	5	X06	5	X07	5	X08	5	X09	5	0
Cscroll 2D			1						X10	5	X11	5	X12	5	X13	5	X14	5	X15	5	X16	5	X17	5	X18	5	X19	5	0
Cscroll 3D			1						X20	5	X21	5	X22	5	X23	5	X24	5	X25	5	X26	5	X27	5	X28	5	X29	5	0
Cscroll 4D			1						X30	5	X31	5	X32	5	X33	5	X34	5	X35	5	X36	5	X37	5	X38	5	X39	5	0
Cscroll 5D			1						X40	5	X41	5	X42	5	X43	5	X44	5	X45	5	X46	5	X47	5	X48	5	X49	5	0
Cscroll 6D			1						X50	5	X51	5	X52	5	X53	5	X54	5	X55	5	X56	5	X57	5	X58	5	X59	5	0
Cscroll 7D			1						X60	5	X61	5	X62	5	X63	5	X64	5	X65	5	X66	5	X67	5	X68	5	X69	5	0
Cscroll 8D			1						X70	5	X71	5	X72	5	X73	5	X74	5	X75	5	X76	5	X77	5	X78	5	X79	5	0
Cscroll 9D			1						X80	5	X81	5	X82	5	X83	5	X84	5	X85	5	X86	5	X87	5	X88	5	X89	5	0
Cscroll 10D			1						X90	5	X91	5	X92	5	X93	5	X94	5	X95	5	X96	5	X97	5	X98	5	X99	5	0
Cscroll D			1						Cscroll 1D	5	Cscroll 2D	5	Cscroll 3D	5	Cscroll 4D	5	Cscroll 5D	5	Cscroll 6D	5	Cscroll 7D	5	Cscroll 8D	5	Cscroll 9D	5	Cscroll 10D	5	0
Cscroll 1E			1						W00	5	W01	5	W02	5	W03	5	W04	5	W05	5	W06	5	W07	5	W08	5	W09	5	0
Cscroll 2E			1						W10	5	W11	5	W12	5	W13	5	W14	5	W15	5	W16	5	W17	5	W18	5	W19	5	0
Cscroll 3E			1						W20	5	W21	5	W22	5	W23	5	W24	5	W25	5	W26	5	W27	5	W28	5	W29	5	0
Cscroll 4E			1						W30	5	W31	5	W32	5	W33	5	W34	5	W35	5	W36	5	W37	5	W38	5	W39	5	0
Cscroll 5E			1						W40	5	W41	5	W42	5	W43	5	W44	5	W45	5	W46	5	W47	5	W48	5	W49	5	0
Cscroll 6E			1						W50	5	W51	5	W52	5	W53	5	W54	5	W55	5	W56	5	W57	5	W58	5	W59	5	0
Cscroll 7E			1						W60	5	W61	5	W62	5	W63	5	W64	5	W65	5	W66	5	W67	5	W68	5	W69	5	0
Cscroll 8E			1						W70	5	W71	5	W72	5	W73	5	W74	5	W75	5	W76	5	W77	5	W78	5	W79	5	0
Cscroll 9E			1						W80	5	W81	5	W82	5	W83	5	W84	5	W85	5	W86	5	W87	5	W88	5	W89	5	0
Cscroll 10E			1						W90	5	W91	5	W92	5	W93	5	W94	5	W95	5	W96	5	W97	5	W98	5	W99	5	0
Cscroll E			1						Cscroll 1E	5	Cscroll 2E	5	Cscroll 3E	5	Cscroll 4E	5	Cscroll 5E	5	Cscroll 6E	5	Cscroll 7E	5	Cscroll 8E	5	Cscroll 9E	5	Cscroll 10E	5	0
Cscroll Main			1					80	Cscroll A	4	Cscroll B	4	Cscroll C	4	Cscroll D	4	Cscroll E	4											0
Mscroll 1A			1						y00	5	y01	5	y02	5	y03	5	y04	5	y05	5	y06	5	y07	5	y08	5	y09	5	0
Mscroll 2A			1						y10	5	y11	5	y12	5	y13	5	y14	5	y15	5	y16	5	y17	5	y18	5	y19	5	0
Mscroll 3A			1						y20	5	y21	5	y22	5	y23	5	y24	5	y25	5	y26	5	y27	5	y28	5	y29	5	0
Mscroll 4A			1						y30	5	y31	5	y32	5	y33	5	y34	5	y35	5	y36	5	y37	5	y38	5	y39	5	0
Mscroll 5A			1						y40	5	y41	5	y42	5	y43	5	y44	5	y45	5	y46	5	y47	5	y48	5	y49	5	0
Mscroll 6A			1						y50	5	y51	5	y52	5	y53	5	y54	5	y55	5	y56	5	y57	5	y58	5	y59	5	0
Mscroll 7A			1						y60	5	y61	5	y62	5	y63	5	y64	5	y65	5	y66	5	y67	5	y68	5	y69	2	0
Mscroll 8A			1						y70	5	y71	5	y72	5	y73	5	y74	5	y75	5	y76	5	y77	5	y78	5	y79	2	0
Mscroll 9A			1						y80	5	y81	5	y82	5	y83	5	y84	5	y85	5	y86	5	y87	5	y88	5	y89	5	0
Mscroll 10A			1						y90	5	y91	5	y92	5	y93	5	y94	5	y95	5	y96	5	y97	5	y98	5	y99	5	0
Mscroll A			1						Mscroll 1A	10	Mscroll 2A	10	Mscroll 3A	10	Mscroll 4A	10	Mscroll 5A	10	Mscroll 6A	10	Mscroll 7A	1	Mscroll 8A	1	Mscroll 9A	2	Mscroll 10A	10	0
Mscroll 1B			1						v00	5	v01	5	v02	5	v03	5	v04	5	v05	5	v06	5	v07	5	v08	5	v09	5	0
Mscroll 2B			1						v10	5	v11	5	v12	5	v13	5	v14	5	v15	5	v16	5	v17	5	v18	5	v19	5	0
Mscroll 3B			1						v20	5	v21	5	v22	5	v23	5	v24	5	v25	5	v26	5	v27	5	v28	5	v29	5	0
Mscroll 4B			1						v30	5	v31	5	v32	5	v33	5	v34	5	v35	5	v36	5	v37	5	v38	5	v39	5	0
Mscroll 5B			1						v40	5	v41	5	v42	5	v43	5	v44	5	v45	5	v46	5	v47	5	v48	5	v49	5	0
Mscroll 6B			1						v50	5	v51	5	v52	5	v53	5	v54	5	v55	5	v56	5	v57	5	v58	5	v59	5	0
Mscroll 7B			1						v60	5	v61	5	v62	5	v63	5	v64	5	v65	5	v66	5	v67	5	v68	5	v69	5	0
Mscroll 8B			1						v70	5	v71	5	v72	5	v73	5	v74	5	v75	5	v76	5	v77	5	v78	5	v79	5	0
Mscroll 9B			1						v80	5	v81	5	v82	5	v83	5	v84	5	v85	5	v86	5	v87	5	v88	5	v89	5	0
Mscroll 10B			1						v90	5	v91	5	v92	5	v93	5	v94	5	v95	5	v96	5	v97	5	v98	5	v99	5	0
Mscroll B			1						Mscroll 1B	5	Mscroll 2B	5	Mscroll 3B	5	Mscroll 4B	5	Mscroll 5B	5	Mscroll 6B	5	Mscroll 7B	5	Mscroll 8B	5	Mscroll 9B	5	Mscroll 10B	5	0
Mscroll 1C			1						u00	5	u01	5	u02	5	u03	5	u04	5	u05	5	u06	5	u07	5	u08	5	u09	5	0
Mscroll 2C			1						u10	5	u11	5	u12	5	u13	5	u14	5	u15	5	u16	5	u17	5	u18	5	u19	5	0
Mscroll 3C			1						v20	5	u21	5	u22	5	u23	5	u24	5	u25	5	u26	5	u27	5	u28	5	u29	5	0
Mscroll 4C			1						v30	5	u31	5	u32	5	u33	5	u34	5	u35	5	u36	5	u37	5	u38	5	u39	5	0
Mscroll 5C			1						v40	5	u41	5	u42	5	u43	5	u44	5	u45	5	u46	5	u47	5	u48	5	u49	5	0
Mscroll 6C			1						v50	5	u51	5	u52	5	u53	5	u54	5	u55	5	u56	5	u57	5	u58	5	u59	5	0
Mscroll 7C			1						v60	5	u61	5	u62	5	u63	5	u64	5	u65	5	u66	5	u67	5	u68	5	u69	5	0
Mscroll 8C			1						v70	5	u71	5	u72	5	u73	5	u74	5	u75	5	u76	5	u77	5	u78	5	u79	5	0
Mscroll 9C			1						v80	5	u81	5	u82	5	u83	5	u84	5	u85	5	u86	5	u87	5	u88	5	u89	5	0
Mscroll 10C			1						v90	5	u91	5	u92	5	u93	5	u94	5	u95	5	u96	5	u97	5	u98	5	u99	5	0
Mscroll C			1						Mscroll 1C	5	Mscroll 2C	5	Mscroll 3C	5	Mscroll 4C	5	Mscroll 5C	5	Mscroll 6C	5	Mscroll 7C	5	Mscroll 8C	5	Mscroll 9C	5	Mscroll 10C	5	0
Mscroll 1D			1						Y00	5	Y01	5	Y02	5	Y03	5	Y04	5	Y05	5	Y06	5	Y07	5	Y08	5	Y09	5	0
Mscroll 2D			1						Y10	5	Y11	5	Y12	5	Y13	5	Y14	5	Y15	5	Y16	5	Y17	5	Y18	5	Y19	5	0
Mscroll 3D			1						Y20	5	Y21	5	Y22	5	Y23	5	Y24	5	Y25	5	Y26	5	Y27	5	Y28	5	Y29	5	0
Mscroll 4D			1						Y30	5	Y31	5	Y32	5	Y33	5	Y34	5	Y35	5	Y36	5	Y37	5	Y38	5	Y39	5	0
Mscroll 5D			1						Y40	5	Y41	5	Y42	5	Y43	5	Y44	5	Y45	5	Y46	5	Y47	5	Y48	5	Y49	5	0
Mscroll 6D			1						Y50	5	Y51	5	Y52	5	Y53	5	Y54	5	Y55	5	Y56	5	Y57	5	Y58	5	Y59	5	0
Mscroll 7D			1						Y60	2	Y61	2	Y62	2	Y63	2	Y64	2	Y65	2	Y66	2	Y67	2	Y68	2	Y69	2	0
Mscroll 8D			1						Y70	2	Y71	2	Y72	2	Y73	2	Y74	2	Y75	2	Y76	2	Y77	2	Y78	2	Y79	2	0
Mscroll 9D			1						Y80	2	Y81	2	Y82	2	Y83	2	Y84	2	Y85	2	Y86	2	Y87	5	Y88	5	Y89	5	0
Mscroll 10D			1						Y90	5	Y91	5	Y92	5	Y93	5	Y94	5	Y95	5	Y96	5	Y97	5	Y98	5	Y99	5	0
Mscroll D			1						Mscroll 1D	5	Mscroll 2D	5	Mscroll 3D	5	Mscroll 4D	5	Mscroll 5D	5	Mscroll 6D	5	Mscroll 7D	2	Mscroll 8D	2	Mscroll 9D	3	Mscroll 10D	5	0
Mscroll 1E			1						V00	5	V01	5	V02	5	V03	5	V04	5	V05	5	V06	5	V07	5	V08	5	V09	5	0
Mscroll 2E			1						V10	5	V11	5	V12	5	V13	5	V14	5	V15	5	V16	5	V17	5	V18	5	V19	5	0
Mscroll 3E			1						V20	5	V21	5	V22	5	V23	5	V24	5	V25	5	V26	5	V27	5	V28	5	V29	5	0
Mscroll 4E			1						V30	5	V31	5	V32	5	V33	5	V34	5	V35	5	V36	5	V37	5	V38	5	V39	5	0
Mscroll 5E			1						V40	5	V41	5	V42	5	V43	5	V44	5	V45	5	V46	5	V47	5	V48	5	V49	5	0
Mscroll 6E			1						V50	5	V51	5	V52	5	V53	5	V54	5	V55	5	V56	5	V57	5	V58	5	V59	5	0
