Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-mag	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-norm	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-fire	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-ltng	0	8	60	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-cold	100	18	36	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-pois	50	90	90	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-mag	0	16	48	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-norm	0	16	48	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-fire	0	16	48	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-ltng	0	8	60	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-cold	100	18	36	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-pois	50	90	90	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-mag	0	16	48	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-norm	0	16	48	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-fire	0	16	48	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-ltng	0	8	60	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-cold	100	18	36	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-pois	50	90	90	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-mag	0	16	48	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-norm	0	16	48	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-fire	0	16	48	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-ltng	0	8	60	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-cold	100	18	36	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-pois	50	90	90	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-mag	0	16	48	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-norm	0	16	48	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-fire	0	16	48	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-ltng	0	8	60	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-cold	100	18	36	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	5	306	att	0	50	200	dmg-pois	50	90	90	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-mag	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-norm	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-fire	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-ltng	0	8	60	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-cold	100	18	36	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-pois	50	90	90	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-mag	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-norm	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-fire	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-ltng	0	8	60	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-cold	100	18	36	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-pois	50	90	90	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-mag	0	16	48	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-norm	0	16	48	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-fire	0	16	48	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-ltng	0	8	60	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-cold	100	18	36	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-pois	50	90	90	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-mag	0	16	48	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-norm	0	16	48	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-fire	0	16	48	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-ltng	0	8	60	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-cold	100	18	36	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-pois	50	90	90	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-mag	0	16	48	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-norm	0	16	48	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-fire	0	16	48	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-ltng	0	8	60	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-cold	100	18	36	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-pois	50	90	90	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-mag	0	16	48	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-norm	0	16	48	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-fire	0	16	48	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-ltng	0	8	60	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-cold	100	18	36	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	1	0	0	dmg-pois	50	90	90	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-mag	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-norm	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-fire	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-ltng	0	8	60	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-cold	100	18	36	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-pois	50	90	90	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-mag	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-norm	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-fire	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-ltng	0	8	60	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-cold	100	18	36	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-pois	50	90	90	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-mag	0	16	48	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-norm	0	16	48	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-fire	0	16	48	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-ltng	0	8	60	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-cold	100	18	36	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-pois	50	90	90	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-mag	0	16	48	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-norm	0	16	48	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-fire	0	16	48	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-ltng	0	8	60	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-cold	100	18	36	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-pois	50	90	90	mana-kill	0	3	3			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-mag	0	16	48	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-norm	0	16	48	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-fire	0	16	48	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-ltng	0	8	60	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-cold	100	18	36	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-pois	50	90	90	noheal	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-mag	0	16	48	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-norm	0	16	48	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-fire	0	16	48	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-ltng	0	8	60	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-cold	100	18	36	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	2	306	sock	2	0	0	dmg-pois	50	90	90	pierce	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-mag	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-norm	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-fire	0	16	48	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-ltng	0	8	60	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-cold	100	18	36	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-pois	50	90	90	howl	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-mag	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-norm	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-fire	0	16	48	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-ltng	0	8	60	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-cold	100	18	36	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-pois	50	90	90	knock	0	1	1			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
Magic Missiles	100	1	0	16	0	16		0	1	306	sock	3	0	0	dmg-mag	0	16	48	openwounds	0	10	40			mboq	mxbq	    	    	    	    	    	    	    	    	0	0	0
