name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	reqdex	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	nameable
Grim Helm	0	0	1	1	202	442	4	0	40	0	0	48	0	50	0	37683	697894	xh9	xh9	0	328	bhm		bhm	xh9	uh9		0	2	2	1	3	1	flpbhm	invbhm	invbhmu	invbhmu	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		2	0	0	0	3	0	0	0			0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Winged Helm	0	0	1	1	220	500	4	0	47	0	0	48	0	51	0	37846	711800	xhm	xhm	0	328	ghm		ghm	xhm	uhm		0	2	2	1	3	1	flpghm	invwinh			0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Shako	100	0	1	1	252	590	6	0	54	0	0	14	0	58	0	56307	1007182	uap	uap	0	328	cap		cap	xap	uap		0	2	2	1	4	1	flpcap	invshako			0	0	0	0	0	0	0		0	0	0	helm		item_cap	12	item_cap	0	0	5		0	0	0	0	3	0	0	0			0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Hydraskull	100	0	1	1	276	650	6	0	62	0	0	21	0	63	0	62739	1136552	ukp	ukp	0	328	skp		skp	xkp	ukp		0	2	2	1	4	1	flpskp	invhydra			0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Armet	100	0	1	1	302	714	6	0	70	0	0	28	0	68	0	69940	1343406	ulm	ulm	0	328	hlm		hlm	xlm	ulm		0	2	2	1	4	1	flphlm	invarmet	invhlmu	invhlmu	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Giant Conch	100	0	1	1	325	776	6	0	79	0	0	36	0	54	0	57806	1515726	uhl	uhl	0	328	fhl		fhl	xhl	uhl		0	2	2	1	4	1	flpfhl	invfhl	invfhlu	invfhlu	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			0	8	0	xxx	xxx	1
Bone Visage	100	0	1	1	350	836	6	0	89	0	0	48	0	84	0	87274	1196322	uh9	uh9	0	328	bhm		bhm	xh9	uh9		0	2	2	1	4	1	flpbhm	invbvis	invbhmu	invbhmu	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		2	0	0	0	3	0	0	0			0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Spired Helm	100	0	1	1	376	884	6	0	100	0	0	48	0	79	0	87168	1841760	uhm	uhm	0	328	ghm		ghm	xhm	uhm		0	2	2	1	4	1	flpghm	invghm		invuhms	0	0	0	0	0	0	0		0	0	0	helm		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Mask	0	0	1	1	13	80	2	0	5	5	0	20	0	19	0	2857	51140	msk	msk	40	328	msk		msk	xsk	usk		0	2	2	1	3	1	flpmsk	invmsk			0	0	0	0	0	0	0		0	0	0	circ		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx	1
Circlet	100	0	1	1	37	104	2	0	8	8	0	20	0	24	0	12000	171250	ci0	ci0	40	328	lit		ci0	ci2	ci3		0	2	2	1	3	1	flpci0	invci0			0	0	0	0	0	0	0		0	0	0	circ		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	255	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	1	0	1	255			1	2	0	xxx	xxx	1
Crown	0	0	1	1	51	162	2	0	13	13	0	20	0	29	0	8345	155002	crn	crn	40	328	crn		crn	xrn	urn		0	2	2	1	3	1	flpcrn	invcrn			0	0	0	0	0	0	0		0	0	0	circ		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	20	0	0	0	1	1	0	0	0	0	255	0	1	1	1	20	0	0	0	0	255			2	8	0	xxx	xxx	1
Death Mask	0	0	1	1	109	312	4	0	20	20	0	20	0	48	0	27190	482368	xsk	xsk	80	328	msk		msk	xsk	usk		0	2	2	1	3	1	flpmsk	invdmask			0	0	0	0	0	0	0		0	0	0	circ		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx	1
Coronet	100	0	1	1	137	374	4	0	30	30	0	20	0	54	0	23000	342500	ci1	ci1	80	328	lit		ci1	ci2	ci3		0	2	2	1	3	1	flpci1	invci1			0	0	0	0	0	0	0		0	0	0	circ		item_helm	12	item_helm	0	0	5		1	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	255	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	20	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx	1
Grand Crown	0	0	1	1	173	448	4	0	42	42	0	20	0	60	0	42458	897632	xrn	xrn	80	328	crn		crn	xrn	urn		0	2	2	1	3	1	flpcrn	invcrn	invxrnu	invxrnu	0	0	0	0	0	0	0		0	0	0	circ		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Demonhead	100	0	1	1	215	553	6	0	55	55	0	20	0	65	0	76578	1599406	usk	usk	120	328	msk		msk	xsk	usk		0	2	2	1	4	1	flpmsk	invmsk			0	0	0	0	0	0	0		0	0	0	circ		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx	1
Tiara	100	0	1	1	250	648	6	0	69	69	0	20	0	70	0	35000	1400000	ci2	ci2	120	328	lit		ci1	ci2	ci3		0	2	2	1	4	1	flpci1	invci2			0	0	0	0	0	0	0		0	0	0	circ		item_helm	12	item_helm	0	0	5		2	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	255	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx	1
Corona	100	0	1	1	296	754	6	0	84	84	0	20	0	89	0	99186	2084340	urn	urn	120	328	crn		crn	xrn	urn		0	2	2	1	4	1	flpcrn	invcrn			0	0	0	0	0	0	0		0	0	0	circ		item_helm	12	item_helm	0	0	5		0	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	xxx	xxx	1
Diadem	100	0	1	1	350	925	6	0	100	100	0	20	0	95	0	58000	2765000	ci3	ci3	160	328	lit		ci1	ci2	ci3		0	2	2	1	4	1	flpci2	invci3	invcoron		0	0	0	0	0	0	0		0	0	0	circ		item_helm	12	item_helm	0	0	5		3	0	0	0	3	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	255	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx	1
Quilted Armor	0	0	1	1	12	32	4	0	1	0	0	24	0	1	0	140	6070	qui	qui	0	328	qlt		qui	xui	uui		1	2	3	1	4	1	flpqlt	invqlt			0	0	0	0	1	1	0		0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5		0	0	0	0	2	0	0	0			0	1	0	0	0	0	255	0	1	0	1	1	1	1	1	1	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	chn	xui	1
Leather Armor	0	0	1	1	22	52	4	0	2	0	0	28	0	3	0	481	8720	lea	lea	0	328	lea		lea	xea	uea		1	2	3	1	4	1	flplea	invlea			0	0	1	0	1	1	0		0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5		0	0	0	0	2	0	0	0			0	1	0	0	0	0	255	0	1	0	1	1	1	1	1	1	10	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	brs	xea	1
Hard Leather Armor	0	0	1	1	33	74	4	0	3	0	0	33	0	5	0	1060	12650	hla	hla	0	328	hla		hla	xla	ula		1	2	3	1	4	1	flphla	invhla			1	1	1	0	1	1	0		0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5		0	0	0	0	2	0	0	0			0	1	0	0	0	0	255	0	1	0	1	1	1	1	1	1	15	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	spl	xla	1
Studded Leather 	0	0	1	1	51	110	4	0	4	0	0	38	0	8	0	2385	22540	stu	stu	0	328	stu		stu	xtu	utu		1	2	3	1	4	1	flpstu	invstu			1	0	0	1	1	1	0		0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5		0	0	0	0	2	0	0	0			0	1	0	0	0	0	255	0	1	0	1	1	1	1	1	1	20	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	ltp	xtu	1
Ring Mail	0	0	1	1	71	150	6	5	5	0	0	31	0	11	0	4428	40354	rng	rng	0	328	rng		rng	xng	ung		1	2	3	1	4	1	flprng	invrng			0	0	1	1	1	1	0		0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5		0	0	0	0	2	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	1	0	1	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	plt	xng	1
Scale Mail	0	0	1	1	90	190	6	10	6	0	0	43	0	13	0	6508	60302	scl	scl	0	328	scl		scl	xcl	ucl		1	2	3	1	4	1	flpscl	invscl			1	1	1	1	1	1	0		0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5		0	0	0	0	2	0	0	0			0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	8	0	fld	xcl	1
