skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
strafe	1	5	2	1	0	40	skillname26	skillsd26	skillld26	skillan26	StrSkill3	7	ln12 + (skill('Magic Arrow'.blvl) + skill('Multiple Shot'.blvl) + skill('Guided Arrow'.blvl)) * par8 / 250											1				1					2	StrSkill4	StrSkill23	clc2		3	StrSkill86	StrSkill87	clc1																	73	WeapDamsk		3	4																40	Sksyn	skillname26	2		15	skillname6	SynPhys125			15	skillname12	SynPhys125			15	skillname22	SynPhys125																		0
immolation arrow	1	5	3	1	0	42	skillname27	skillsd27	skillxld27	skillan27	StrSkill3	6												1	immolationfire			1					22					23	StrSkill82				24	StrSkill83				2	StrSkill22	StrSkill23	toht																											40	Sksyn	skillname27	2		15	skillname7	SynBurn50			15	skillname16	SynBurn50			15	skillname7	SynFire50			15	skillname16	SynFire50													0
dopplezon	2	5	1	2	0	44	skillname28	skillsd28	skillld28	skillan28	StrSkill3																	1					12	StrSkill20		clc2		2	StrSkill42	StrSkill23	clc1																																																																								0
evade	2	5	2	2	0	46	skillname29	skillsd29	skillld29	skillan29	StrSkill3																	7	StrSkill24		pst1																																																																																		0
fend	3	5	1	3	0	48	skillname30	skillsd30	skillld30	skillan30	StrSkill3	7	clc2											1				1					2	StrSkill4	StrSkill23	clc2		2	StrSkill30	StrSkill23	toht																																					40	Sksyn	skillname30	2		15	skillname10	SynPhys125			15	skillname19	SynPhys125																							0
freezing arrow	1	6	1	1	0	50	skillname31	skillsd31	skillxld31	skillan31	StrSkill3	6												1				1					12	StrSkill62		edln		10					2	StrSkill22	StrSkill23	toht												19	StrSkill18		clc1																	40	Sksyn	skillname31	2		15	skillname11	SynCold50			15	skillname21	SynCold50																							0
valkyrie	2	6	1	2	0	52	skillname32	skillsd32	skillld32	skillan32	StrSkill3																	1					2	StrSkill31	StrSkill23	pst1		4	StrSkill22		toht		2	StrSkill4	StrSkill23	par2*(lvl-1)		13			clc1																																																														0
pierce	2	6	3	2	0	54	skillname33	skillsd33	skillld33	skillan33	StrSkill3																	7	StrSkill24		pst1																																																																																		0
lightning strike	3	6	2	3	0	56	skillname34	skillsd34	skillld34	skillan34	StrSkill3	17																1					10					7	StrSkill11		clc2																																					40	Sksyn	skillname34	2		15	skillname14	SynLtng30			15	skillname20	SynLtng30			15	skillname24	SynLtng30			15	skillname35	SynLtng30													0
lightning fury	3	6	3	3	0	58	skillname35	skillsd35	skillld35	skillan35	StrSkill3	22																1					10					3	StrSkill72	StrSkill27	clc1																																					40	Sksyn	skillname35	2		15	skillname14	SynLtng30			15	skillname20	SynLtng30			15	skillname24	SynLtng30			15	skillname34	SynLtng30													0
fire bolt	1	1	2	1	0	0	skillname36	skillsd36	skillld36	skillan36	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname36	2		15	skillname47	SynFire50			15	skillname56	SynFire50																							0
warmth	1	1	3	1	0	2	skillname37	skillsd37	skillld37	skillan37	StrSkill3																	7	StrSkill23		ln12																																																																																		0
charged bolt	2	1	2	2	0	4	skillname38	skillsd38	skillld38	skillan38	StrSkill3	5																1					7	StrSkill27		clc1		10																																								40	Sksyn	skillname38	2		15	skillname49	SynLtng50			15	skillname53	SynLtng50																							0
ice bolt	3	1	2	3	0	6	skillname39	skillsd39	skillld39	skillan39	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname39	2		15	skillname45	SynCold40			15	skillname55	SynCold40			15	skillname59	SynCold40			15	skillname64	SynCold40													0
frozen armor	3	1	3	3	0	8	skillname40	skillsd40	skillld40	skillan40	StrSkill3																	1					12	StrSkill20		len		12	StrSkill62		clc1		3	StrSkill31	StrSkill23	ln12																																40	Sksyn	skillname40	2		15	skillname50	SynFrz50			15	skillname60	SynFrz50			15	skillname50	SynDur25			67	skillname60	Secplev2	par7 / 25												0
inferno	1	2	1	1	0	10	skillname41	skillsd41	skillld41	skillan41	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		clc1		11					26																																			40	Sksyn	skillname41	2		15	skillname46	SynFire50			15	skillname51	SynFire50																							0
static field	2	2	1	2	0	12	skillname42	skillsd42	skillxld42	skillan42	StrSkill3																	1					19	StrSkill18		rng		3	StrSkill33	StrSkill23	clc1																																																																								0
telekinesis	2	2	3	2	0	14	skillname43	skillsd43	skillld43	skillan43	StrSkill3																	5	StrMaxManaResist		pst2		5	StrManaResist		pst1																																																																													0
frost nova	3	2	1	3	0	16	skillname44	skillsd44	skillld44	skillan44	StrSkill3	5																1					19	StrSkill18		ln12		11					10																																			40	Sksyn	skillname44	2		15	skillname59	SynCold50			15	skillname64	SynCold50																							0
ice blast	3	2	2	3	0	18	skillname45	skillsd45	skillld45	skillan45	StrSkill3	5																1					12	StrSkill62		edln		10																																								40	Sksyn	skillname45	2		15	skillname39	SynCold40			15	skillname55	SynCold40			15	skillname59	SynCold40			15	skillname64	SynCold40													0
blaze	1	3	1	1	0	20	skillname46	skillsd46	skillld46	skillan46	StrSkill3	9													blaze			1					23	StrSkill82				27																																								40	Sksyn	skillname46	2		15	skillname41	SynFire50			15	skillname51	SynFire50																							0
fire ball	1	3	2	1	0	22	skillname47	skillsd47	skillld47	skillan47	StrSkill3	5													fireball			1					11					10					9					8										28																				40	Sksyn	skillname47	2		15	skillname36	SynFire50			15	skillname56	SynFire50																							0
nova	2	3	1	2	0	24	skillname48	skillsd48	skillld48	skillan48	StrSkill3	5																1					10																									19	StrSkill18		par3																	40	Sksyn	skillname48	2		15	skillname42	SynLtng50			15	skillname57	SynLtng50																							0
lightning	2	3	2	2	0	26	skillname49	skillsd49	skillld49	skillan49	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname49	2		15	skillname38	SynLtng50			15	skillname53	SynLtng50																							0
shiver armor	3	3	3	3	0	28	skillname50	skillsd50	skillld50	skillan50	StrSkill3	5																1					12	StrSkill20		len		11					10					3	StrSkill31	StrSkill23	ln12																											40	Sksyn	skillname50	2		15	skillname40	SynCold50			15	skillname60	SynCold50			15	skillname40	SynDur25			67	skillname60	Secplev2	par7 / 25												0
fire wall	1	4	1	1	0	30	skillname51	skillsd51	skillld51	skillan51	StrSkill3	9													firewallmaker			1					29					27					30	StrSkill82																																		40	Sksyn	skillname51	2		15	skillname41	SynFire50			15	skillname46	SynFire50																							0
enchant	1	4	3	1	0	32	skillname52	skillsd52	skillld52	skillan52	StrSkill3																	1					12	StrSkill20		len		2	StrSkill30	StrSkill23	toht		10																																			40	Sksyn	skillname52	2		15	skillname37	SynFire50																												0
chain lightning	2	4	2	2	0	34	skillname53	skillsd53	skillld53	skillan53	StrSkill3	5																1					7	StrSkill11		clc1		10																																								40	Sksyn	skillname53	2		15	skillname38	SynLtng50			15	skillname49	SynLtng50																							0
teleport	2	4	3	2	0	36	skillname54	skillsd54	skillld54	skillan54	StrSkill3																	1																																																																																					0
glacial spike	3	4	2	3	0	38	skillname55	skillsd55	skillld55	skillan55	StrSkill3	5																1					12	StrSkill62		len		19	StrSkill18		rng		10																																			40	Sksyn	skillname55	2		15	skillname39	SynCold40			15	skillname45	SynCold40			15	skillname59	SynCold40			15	skillname64	SynCold40													0
meteor	1	5	2	1	0	40	skillname56	skillsd56	skillld56	skillan56	StrSkill3	5													meteorfire			1					22					19	StrSkill18		ln12		10																																			40	Sksyn	skillname56	2		15	skillname36	SynFire50			15	skillname47	SynFire50			15	skillname41	SynBurn50																		0
thunder storm	2	5	1	2	0	42	skillname57	skillsd57	skillld57	skillan57	StrSkill3	5																1					12	StrSkill20		len		19	StrSkill18		par7		10																																			40	Sksyn	skillname57	2		15	skillname42	SynLtng50			15	skillname48	SynLtng50																							0
energy shield	2	5	3	2	0	44	skillname58	skillsd58	skillld58	skillan58	StrSkill3																	1					12	StrSkill20		len		5	StrManaResist		clc2		3	StrSkill40	StrSkill23	clc1																																40	Sksyn	skillname58	2		18	skillname43																													0
blizzard	3	5	1	3	0	46	skillname59	skillsd59	skillld59	skillan59	StrSkill3	5													blizzardcenter			1					23	StrSkill20				19	StrSkill18		clc1		10																																			40	Sksyn	skillname59	2		15	skillname39	SynCold40			15	skillname44	SynCold40			15	skillname45	SynCold40			15	skillname55	SynCold40													0
chilling armor	3	5	3	3	0	48	skillname60	skillsd60	skillld60	skillan60	StrSkill3	5																1					12	StrSkill20		len		10					3	StrSkill31	StrSkill23	ln12																																40	Sksyn	skillname60	2		15	skillname40	SynCold50			15	skillname50	SynCold50			15	skillname40	SynDur25			67	skillname50	Secplev2	par7 / 25												0
fire mastery	1	6	2	1	0	50	skillsname61	skillsd61	skillld61	skillan61	StrSkill3																	2	StrSkill5	StrSkill23	ln12																																																																																		0
hydra	1	6	3	1	0	52	skillname62	skillsd62	skillld62	skillan62	StrSkill3	5																1					12	StrSkill20		ln12		24	StrSkill113																																							40	Sksyn	skillname62	2		15	skillname36	SynFire25			15	skillname47	SynFire25																							0
lightning mastery	2	6	2	2	0	54	skillname63	skillxsd63	skillxld63	skillan63	StrSkill3																	2	StrSkill7	StrSkill23	ln12																																																																																		0
frozen orb	3	6	1	3	0	56	skillname64	skillsd64	skillld64	skillan64	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname64	2		15	skillname39	SynCold25			15	skillname44	SynCold25			15	skillname45	SynCold25			15	skillname55	SynCold25													0
cold mastery	3	6	2	3	0	58	skillname65	skillxsd65	skillxld65	skillan65	StrSkill3																	2	StrSkill6	StrSkill23	ln12																																																																																		0
amplify damage	1	1	2	1	0	0	skillname66	skillsd66	skillld66	skillan66	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		2	StrSkill37	StrSkill23	0-ast1																																																																			0
teeth	2	1	2	2	0	2	skillname67	skillsd67	skillld67	skillan67	StrSkill3	5																1					11					10					9					8					7	StrSkill28		clc1																						40	Sksyn	skillname67	2		15	skillname78	SynMag30			15	skillname84	SynMag30			15	skillname88	SynMag30			15	skillname93	SynMag30													0
bone armor	2	1	3	2	0	4	skillname68	skillsd68	skillld68	skillan68	StrSkill3																	1					5	MaxDmgAbs		clc1		5	CurDmgAbs		ast1 / 256																																					40	Sksyn	skillname68	2		67	skillname78	Damabsplev	par8		67	skillname88	Damabsplev	par8																						0
skeleton mastery	3	1	1	3	0	6	skillname69	skillsd69	skillld69	skillan69	StrSkill3																	32	StrSkill97	StrSkill4	lvl*par4		32	StrSkill97	StrSkill42	lvl*par3		33	StrSkill96	StrSkill43			70	StrSkill96	StrSkill42	lvl*par1		70	StrSkill95	StrSkill4	lvl*par2		70	StrSkill95	StrSkill42	lvl*par1																																																									0
raise skeleton	3	1	3	3	0	8	skillname70	skillsd70	skillld70	skillan70	StrSkill3																	1					13			clc1	pst1 / 256	5	StrSkill21		ast2		5	StrSkill22		ast4		34										5	ESkillNext		(lvl < 5) ? (lvl+1) : ((lvl / 4 + 1) * 4)		36	StrSkill94	StrSkill44	pets												40	Sksyn	skillname70	2		18	skillname69				18	skillname89																								0
dim vision	1	2	1	1	0	10	skillname71	skillsd71	skillld71	skillan71	StrSkill3																	1					31	StrSkill20		len		19	StrSkill18		rng																																																																								0
weaken	1	2	3	1	0	12	skillname72	skillsd72	skillld72	skillan72	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng																	3	StrSkill38	StrSkill23	ast1																																																				0
poison dagger	2	2	1	2	0	14	skillname73	skillsd73	skillld73	skillan73	StrSkill3	5												1				1					14					2	StrSkill22	StrSkill23	toht																																					40	Sksyn	skillname73	2		15	skillname83	SynPois100			15	skillname92	SynPois100																							0
corpse explosion	2	2	2	2	0	16	skillname74	skillsd74	skillld74	skillan74	StrSkill3																	1					37	StrSkill18		rng																						66	Convphy2magalt		clc3		38	StrSkill4	StrSkill46	clc1	clc2																																														0
clay golem	3	2	2	3	0	18	skillname75	skillsd75	skillld75	skillan75	StrSkill3																	1					13			clc1	pst1 / 256	5	StrSkill21		150 + skill('IronGolem'.clc2)		5	StrSkill22		80 + skill('Golem Mastery'.clc3) + lvl*par8		3	Cgslow	StrSkill23	ast2		39																									40	Sksyn	skillname75	2		18	skillname79				18	skillname89				15	skillname85	SynLife1			15	skillname90	SynDef50			15	skillname94	SynPhys250								0
iron maiden	1	3	2	1	0	20	skillname76	skillsd76	skillld76	skillan76	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		7	StrSkill55		clc1																																																																			0
terror	1	3	3	1	0	22	skillname77	skillsd77	skillld77	skillan77	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng																																																																								0
bone wall	2	3	3	2	0	24	skillname78	skillsd78	skillld78	skillan78	StrSkill3																	1					12	StrSkill20		par2		13			clc1																																					40	Sksyn	skillname78	2		15	skillname68	SynLife2			15	skillname88	SynLife2																							0
golem mastery	3	3	1	3	0	26	skillname79	skillsd79	skillld79	skillan79	StrSkill3																	2	StrSkill89	StrSkill23	clc2		4	StrSkill30		clc3		2	StrSkill42	StrSkill23	clc1																																																																								0
raise skeletal mage	3	3	3	3	0	28	skillname80	skillsd80	skillld80	skillan80	StrSkill3																	1					13			clc1	pst1 /256	5	StrSkill21		ast2																	5	ESkillNext		(lvl < 7) ? ((lvl + 1)/ 2 * 2 + 1) : ((lvl / 10 + 1) * 10)		36	StrSkill43a	StrSkill44a	pets												40	Sksyn	skillname80	2		18	skillname69				18	skillname89																								0
confuse	1	4	1	1	0	30	skillname81	skillsd81	skillld81	skillan81	StrSkill3																	1					31	StrSkill20		len		19	StrSkill18		rng																																																																								0
life tap	1	4	2	1	0	32	skillname82	skillsd82	skillld82	skillan82	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		3	StrSkill50	StrSkill79	clc1																																																																			0
poison explosion	2	4	1	2	0	34	skillname83	skillsd83	skillld83	skillan83	StrSkill3	5																1					14																																													40	Sksyn	skillname83	2		15	skillname73	SynPois100			15	skillname92	SynPois100																							0
bone spear	2	4	2	2	0	36	skillname84	skillsd84	skillld84	skillan84	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname84	2		15	skillname67	SynMag40			15	skillname78	SynMag40			15	skillname88	SynMag40			15	skillname93	SynMag40													0
bloodgolem	3	4	2	3	0	38	skillname85	skillsd85	skillld85	skillan85	StrSkill3																	1					13			clc1	pst1 / 256	5	StrSkill21		200 + skill('IronGolem'.clc2)		5	StrSkill22		120 + skill('Golem Mastery'.clc3) + skill('Clay Golem'.clc2)		3	StrSkill80	StrSkill81	dm12		39																									40	Sksyn	skillname85	2		18	skillname79				18	skillname89				15	skillname75	SynAtt50			15	skillname90	SynDef50			15	skillname94	SynPhys250								0
attract	1	5	1	1	0	40	skillname86	skillsd86	skillxld86	skillan86	StrSkill3																	1					31	StrSkill20		len		19	StrSkill18		rng																																																																								0
decrepify	1	5	3	1	0	42	skillname87	skillsd87	skillld87	skillan87	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng																																																																								0
bone prison	2	5	3	2	0	44	skillname88	skillsd88	skillld88	skillan88	StrSkill3																	1					12	StrSkill20		par2		13			clc1																																					40	Sksyn	skillname88	2		15	skillname68	SynLife2			15	skillname78	SynLife2																							0
summon resist	3	5	1	3	0	46	skillname89	skillsd89	skillld89	skillan89	StrSkill3																	2	StrSkill54	StrSkill23	ln12																																																																																		0
irongolem	3	5	2	3	0	48	skillname90	skillsd90	skillld90	skillan90	StrSkill3																	1					13			clc1	pst1 / 256	5	StrSkill21		250 + lvl*par8		5	StrSkill22		160 + skill('Golem Mastery'.clc3) + skill('Clay Golem'.clc2)		7	StrSkill55		ln12		39																									40	Sksyn	skillname90	2		18	skillname79				18	skillname89				15	skillname75	SynAtt50			15	skillname85	SynLife1			15	skillname94	SynPhys250								0
lower resist	1	6	2	1	0	50	skillname91	skillsd91	skillld91	skillan91	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		3	StrSkill54	StrSkill23	ast1																																																																			0
poison nova	2	6	1	2	0	52	skillname92	skillsd92	skillld92	skillan92	StrSkill3	5																1					14																																													40	Sksyn	skillname92	2		15	skillname73	SynPois50			15	skillname83	SynPois50																							0
bone spirit	2	6	2	2	0	54	skillname93	skillsd93	skillld93	skillan93	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname93	2		15	skillname67	SynMag25			15	skillname78	SynMag25			15	skillname84	SynMag25			15	skillname88	SynMag25													0
firegolem	3	6	2	3	0	56	skillname94	skillsd94	skillld94	skillan94	StrSkill3																	1					13			clc1	pst1 / 256	5	StrSkill21		350 + skill('IronGolem'.clc2)		5	StrSkill22		240 + skill('Golem Mastery'.clc3) + skill('Clay Golem'.clc2)		35	skillname102		sklvl('Holy Fire'.ln56.edmn)	sklvl('Holy Fire'.ln56.edmx)	41			edmn+sklvl('Holy Fire'.ln56.edmn)*sklvl('Holy Fire'.ln56.par5)	edmx+sklvl('Holy Fire'.ln56.edmx)*sklvl('Holy Fire'.ln56.par5)																					40	Sksyn	skillname94	2		18	skillname79				18	skillname89				15	skillname75	SynAtt50			15	skillname85	SynLife1			15	skillname90	SynDef50								0
revive	3	6	3	3	0	58	skillname95	skillsd95	skillld95	skillan95	StrSkill3																	1					12	StrSkill20		clc2		2	StrSkill42	StrSkill23	clc1		2	StrSkill4	StrSkill23	ast2												5	ESkillNext		(lvl < 10) ? ((lvl + 2) / 3 * 3 + 1) : ((lvl / 15 + 1) * 15)		5	StrSkill97		pets												40	Sksyn	skillname95	2		18	skillname69				18	skillname89																								0
sacrifice	1	1	1	1	0	0	skillname96	skillsd96	skillld96	skillan96	StrSkill3	7	clc1											1				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill10	StrSkill23	toht																	68	StrSkill23	StrSkill47	clc2																	40	Sksyn	skillname96	2		15	skillname124	SynPhys125			15	skillname122	SynPhys125																							0
smite	1	1	3	1	0	2	skillname97	skillsd97	skillld97	skillan97	StrSkill3	7	clc1															1					12	StrSkill48		clc2		2	StrSkill4	StrSkill23	clc1																																																																								0
might	2	1	1	2	0	4	skillname98	skillsd98	skillld98	skillan98	StrSkill3																	19	StrSkill18		rng		2	StrSkill4	StrSkill23	ast1																																																																													0
prayer	3	1	1	3	0	6	skillname99	skillsd99	skillld99	skillan99	StrSkill3																	19	StrSkill18		rng		4	StrSkill50		ast1 / 256																																																																													0
resist fire	3	1	3	3	0	8	skillname100	skillsd100	skillld100	skillan100	StrSkill3																	19	StrSkill18		rng		6	ModStr5u		ast2		2	StrSkill51	StrSkill23	ast1																																																																								0
holy bolt	1	2	2	1	0	10	skillname101	skillsd101	skillld101	skillan101	StrSkill3	5																1					47	StrSkill50		clc1	clc2	10																																								40	Sksyn	skillname101	2		15	skillname112	SynMag50			15	skillname121	SynMag50			15	skillname99	SynHeal100																		0
holy fire	2	2	2	2	0	12	skillname102	skillsd102	skillld102	skillan102	StrSkill3	5																19	StrSkill18		rng		10					38	StrSkill5	strEskilllighttoattack	pst1	pst2																																				40	Sksyn	skillname102	2		15	skillname100	SynFire50			15	skillname125	SynFire50																							0
thorns	2	2	3	2	0	14	skillname103	skillsd103	skillld103	skillan103	StrSkill3																	19	StrSkill18		rng		7	StrSkill55		ast3		7	StrSkill55b		ast2		7	StrSkill55a		ast1																																																																			0
defiance	3	2	2	3	0	16	skillname104	skillsd104	skillld104	skillan104	StrSkill3																	19	StrSkill18		rng		2	StrSkill31	StrSkill23	ast1																																																																													0
resist cold	3	2	3	3	0	18	skillname105	skillsd105	skillld105	skillan105	StrSkill3																	19	StrSkill18		rng		6	ModStr5v		ast2		2	StrSkill52	StrSkill23	ast1																																																																								0
