Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	*monlvl1	*monlvl2	*monlvl3	*monlvl4	*monlvl5	*monlvl6	*monlvl7	*monlvl8	*monlvl9	*monlvl10	*monlvl11	*monlvl12	*monlvl13	*monlvl14	*monlvl15	*monlvl16	*monlvl17	*monlvl18	*monlvl19	*monlvl20	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 1 - Cave 3	10	0	0			3	600	600	600	600	600	600	1500	1600	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	4	5	0	0	14	0	0	0	4	4	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	18	118	118	960	960	960	1	2	4	6	6	8	1	0	9	bighead1	fallen2	corruptrogue2	sk_archer1	skeleton3	golem1	zombie1	fallenboss2	ratman																																	bighead1	fallen2	corruptrogue2	sk_archer1	skeleton3	golem1	zombie1	fallenboss2	ratman												bighead1	fallen2	corruptrogue2	sk_archer1	golem1																		0	4	255	Underground Passage Level 1	To Underground Passage Level 1	A1L10	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 4	11	0	0			4	600	600	600	600	600	600	1500	1900	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	6	0	0	0	15	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	23	123	123	960	960	960	1	2	4	6	6	8	1	0	9	bighead2	fallen2	monolith1	cr_archer2	skeleton3	golem1	zombie1	fallenboss2	ratman																																	bighead2	fallen2	monolith1	cr_archer2	skeleton3	golem1	zombie1	fallenboss2	ratman												bighead2	fallen2	monolith1	cr_archer2	golem1																		0	4	255	Hole Level 1	To The Hole Level 1	A1L11	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 5	12	0	0			5	600	600	600	600	600	600	1500	2200	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	7	0	0	0	16	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	26	126	126	960	960	960	1	2	4	6	6	8	1	0	9	skeleton3	fallen3	corruptrogue3	cr_archer3	skeleton4	golem1	zombie1	fallenboss2	ratman																																	skeleton3	fallen3	corruptrogue3	cr_archer3	skeleton4	golem1	zombie1	fallenboss2	ratman												skeleton3	fallen3	corruptrogue3	cr_archer3	golem1																		0	4	255	Pit Level 1	To The Pit Level 1	A1L12	6	4	0	0	0	0	0	0	30	6	0	0	0	0	0	0	1
Act 1 - Cave 2 Treasure	13	0	0			6	24	24	24	24	24	24	1500	2500	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	9	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	12	112	112	960	960	960	1	2	2	3	2	3	1	0	9	skeleton1	zombie2	cr_archer1	golem1	skeleton4	zombie3	cr_archer2	fallenboss1	corruptrogue4																																	skeleton1	zombie2	cr_archer1	golem1	skeleton4	zombie3	cr_archer2	fallenboss1	corruptrogue4												skeleton1	zombie2	cr_archer1	ratman	cr_archer2																		0	4	255	Cave Level 2	To The Cave Level 2	A1L14	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 3 Treasure	14	0	0			7	24	24	24	24	24	24	1500	2624	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	10	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	19	119	119	960	960	960	1	2	2	3	2	3	1	0	9	bighead2	fallen2	corruptrogue2	sk_archer1	golem1	skeleton3	sk_archer2	fallen3	corruptrogue4																																	bighead2	fallen2	corruptrogue2	sk_archer1	golem1	skeleton3	sk_archer2	fallen3	corruptrogue4												bighead2	fallen2	corruptrogue2	sk_archer1	corruptrogue4																		0	4	255	Underground Passage Level 2	To Underground Passage Level 2	A1L15	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 4 Treasure	15	0	0			8	24	24	24	24	24	24	1500	2748	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	11	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	3800	40	99	99	24	124	124	960	960	960	1	2	2	3	2	3	1	0	9	bighead2	fallen2	monolith1	cr_archer2	golem1	skeleton3	sk_archer2	fallen3	corruptrogue4																																	bighead2	fallen2	monolith1	cr_archer2	golem1	skeleton3	sk_archer2	fallen3	corruptrogue4												bighead2	fallen2	monolith1	cr_archer2	fallen3																		0	4	255	Hole Level 2	To The Hole Level 2	A1L16	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 5 Treasure	16	0	0			9	24	24	24	24	24	24	1500	2872	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	12	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	27	127	127	960	960	960	1	2	2	3	2	3	1	0	10	skeleton3	fallen3	corruptrogue3	cr_archer3	golem1	skeleton4	knight1	fallen4	corruptrogue4	cr_archer4																																skeleton3	fallen3	corruptrogue3	cr_archer3	golem1	skeleton4	knight1	fallen4	corruptrogue4	cr_archer4											skeleton3	fallen3	corruptrogue3	cr_archer3	cr_archer4																		0	4	255	Pit Level 2	To The Pit Level 2	A1L17	6	4	0	0	0	0	0	0	25	6	0	0	0	0	0	0	1
Act 1 - Graveyard	17	0	0			0	40	48	40	48	40	48	-1	-1	0	1	1	0	0	0	1	1	1	1	3	2	-1	-1	-1	-1	18	19	0	0	0	0	0	0	6	7	-1	-1	-1	-1	-1	-1	128	255	255	223	0	0	1	0	2025	40	99	99	13	113	113	1280	1280	1280							1	0	9	skeleton1	zombie2	zombie1	skeleton3	bighead1	skeleton2	fallenboss1	mushroom	ratman																																	skeleton1	zombie2	zombie1	skeleton3	bighead1	skeleton2	fallenboss1	mushroom	ratman												skeleton1	zombie2	mushroom																				0	2	255	Burial Grounds	To The Burial Grounds	A1L18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 1 A	18	0	0			10	2000	2000	2000	2000	2000	2000	2000	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	15	115	115	1536	1536	1536	1	1	3	4	4	5	1	0	9	skeleton1	zombie2	golem1	cr_archer2	skeleton2	fallenboss1	cr_archer3	ratman	skeleton1																																	skeleton1	zombie2	golem1	cr_archer2	skeleton2	fallenboss1	cr_archer3	ratman	skeleton1												skeleton1	zombie2	cr_archer3	ratman																			8	5	255	Crypt	To The Crypt	A1L19	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Crypt 2 A	19	0	0			11	2000	2000	2000	2000	2000	2000	2000	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	15	115	115	1536	1536	1536	1	1	3	4	4	5	1	0	9	skeleton1	zombie2	golem1	cr_archer2	skeleton2	fallenboss1	cr_archer3	ratman	skeleton1																																	skeleton1	zombie2	golem1	cr_archer2	skeleton2	fallenboss1	cr_archer3	ratman	skeleton1												skeleton1	zombie2	fallenboss1	cr_archer2																			8	5	255	Mausoleum	To The Mausoleum	A1L20	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Tower 2	20	0	0			12	14	14	14	14	14	14	2000	1600	0	1	0	0	1	1	1	1	0	1	2	2	-1	-1	-1	-1	6	21	0	0	0	0	0	0	83	84	-1	-1	-1	-1	-1	-1	128	255	255	223	0	0	1	0	100	40	99	99	22	122	122	2048	2048	2048							1	0	11	bighead2	wraith2	fallenshaman4	golem1	golem2	rogue0	darkguard3	zombie1	skeleton4	knight1	fallenboss3																															bighead2	wraith2	fallenshaman4	golem1	golem2	rogue0	darkguard3	zombie1	skeleton4	knight1	fallenboss3																																0	5	255	Forgotten Tower	To The Forgotten Tower	A1L21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 A	21	0	0			13	2000	2000	2000	2000	2000	2000	2500	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	20	22	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	40	99	99	25	125	125	1024	1024	1024	1	1	2	3	3	4	1	0	9	fallen3	wraith1	goatman3	cr_archer3	golem1	zombie1	skeleton2	fallenboss3	ratman																																	fallen3	wraith1	goatman3	cr_archer3	golem1	zombie1	skeleton2	fallenboss3	ratman												fallen3	wraith1	goatman3	cr_archer3	ratman																		8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	A1L22	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 B	22	0	0			14	2000	2000	2000	2000	2000	2000	2500	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	21	23	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	26	126	126	1024	1024	1024	1	1	2	3	3	4	1	0	9	fallen3	wraith1	goatman3	cr_archer3	golem1	zombie2	skeleton3	fallen4	fallenboss3																																	fallen3	wraith1	goatman3	cr_archer3	golem1	zombie2	skeleton3	fallen4	fallenboss3												fallen3	wraith1	goatman3	cr_archer3																			8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	A1L23	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 C	23	0	0			15	2000	2000	2000	2000	2000	2000	2500	1600	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	22	24	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	40	99	99	27	127	127	1280	1280	1280	1	1	2	3	3	4	1	0	10	fallen3	wraith1	goatman3	cr_archer3	golem1	zombie2	skeleton3	fallen4	wraith2	fallenboss3																																fallen3	wraith1	goatman3	cr_archer3	golem1	zombie2	skeleton3	fallen4	wraith2	fallenboss3											fallen3	wraith1	goatman3	cr_archer3																			8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	A1L24	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 D	24	0	0			16	2000	2000	2000	2000	2000	2000	2500	1900	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	23	25	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	28	128	128	1536	1536	1536	1	1	2	3	3	4	1	0	10	fallen3	wraith1	goatman3	cr_archer3	golem2	zombie3	skeleton4	wraith3	fallenboss3	fallen4																																fallen3	wraith1	goatman3	cr_archer3	golem2	zombie3	skeleton4	wraith3	fallenboss3	fallen4											fallen3	wraith1	goatman3	cr_archer3																			8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	A1L25	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 E	25	0	0			17	60	60	60	60	60	60	2500	2200	0	1	0	0	0	1	1	1	0	1	2	4	-1	-1	-1	-1	24	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	40	99	99	29	129	129	1792	1792	1792	1	1	2	3	3	4	1	0	12	fallen3	wraith1	goatman3	cr_archer3	golem2	zombie3	skeleton4	wraith3	bighead3	fallenboss3	fallen4	venomklaw																														fallen3	wraith1	goatman3	cr_archer3	golem2	zombie3	skeleton4	wraith3	bighead3	fallenboss3	fallen4	venomklaw									fallen3	wraith1	goatman3	cr_archer3																			8	5	255	Tower Cellar Level 5	To The Tower Cellar Level 5	A1L26	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Monastery	26	0	0			0	64	18	64	18	64	18	3000	1000	0	1	0	0	0	1	1	1	0	1	2	5	-1	-1	-1	-1	0	27	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	128	255	255	223	0	0	1	0	2025	40	99	99	28	128	128	960	960	960	0	1	0	1	1	2	1	0	10	bighead3	corruptrogue3	sk_archer2	skmage_ltng1	skeleton3	golem1	rogue2	zombie2	skeleton4	fallenboss3																																bighead3	corruptrogue3	sk_archer2	skmage_ltng1	skeleton3	golem1	rogue2	zombie2	skeleton4	fallenboss3											bighead3	corruptrogue3	sk_archer2	skmage_ltng1																			48	6	255	Monastery Gate	To The Monastery Gate	A1L27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Courtyard 1	27	0	0			0	56	40	56	40	56	40	0	-40	26	1	0	0	0	1	1	1	0	1	2	6	-1	-1	-1	-1	26	28	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	128	255	255	223	1	0	1	0	2025	40	99	99	30	130	130	960	960	960	0	1	1	2	2	3	1	0	10	monolith1	corruptrogue4	fallenshaman3	sk_archer2	skeleton3	golem1	rogue2	zombie2	skeleton4	fallenboss3																																monolith1	corruptrogue4	fallenshaman3	sk_archer2	skeleton3	golem1	rogue2	zombie2	skeleton4	fallenboss3											monolith1	corruptrogue4	fallenshaman3	sk_archer2																			0	7	5	Outer Cloister	To The Outer Cloister	A1L28	14	15	0	0	0	0	0	0	7	33	0	0	0	0	0	0	1
Act 1 - Barracks	28	0	0			0	800	800	800	800	800	800	-1	-1	0	1	0	0	0	1	1	1	0	1	1	7	-1	-1	-1	-1	27	29	0	0	0	0	0	0	-1	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	32	132	132	960	960	960	1	2	4	5	6	8	1	0	10	corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2	golem2	zombie2	skeleton4	fallenboss3	ratman																																corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2	golem2	zombie2	skeleton4	fallenboss3	ratman											corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2																		8	8	255	Barracks	To The Barracks	A1L29	51	3	17	0	0	0	0	0	9	35	25	0	0	0	0	0	1
Act 1 - Jail 1	29	0	0			18	800	800	800	800	800	800	3500	1000	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	28	30	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	40	99	99	34	134	134	960	960	960	1	2	4	5	6	8	1	1	11	fallen4	wraith2	goatman5	sk_archer3	skmage_fire2	golem2	darkguard3	zombie2	skeleton4	fallenboss4	ratman																															fallen4	wraith2	goatman5	sk_archer3	skmage_fire2	golem2	darkguard3	zombie2	skeleton4	fallenboss4	ratman										fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																		8	8	6	Jail Level 1	To The Jail Level 1	A1L30	51	15	3	0	0	0	0	0	11	50	35	0	0	0	0	0	1
Act 1 - Jail 2	30	0	0			19	800	800	800	800	800	800	3500	1300	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	29	31	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	36	136	136	960	960	960	1	2	4	5	6	8	1	1	11	fallen4	wraith2	goatman5	sk_archer3	skmage_fire2	golem2	darkguard3	zombie2	skeleton4	fallenboss4	ratman																															fallen4	wraith2	goatman5	sk_archer3	skmage_fire2	golem2	darkguard3	zombie2	skeleton4	fallenboss4	ratman										fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																		8	8	255	Jail Level 2	To The Jail Level 2	A1L31	51	15	3	0	0	0	0	0	13	50	45	0	0	0	0	0	1
Act 1 - Jail 3	31	0	0			20	800	800	800	800	800	800	3500	1600	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	30	32	0	0	0	0	0	0	13	13	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	40	99	99	38	138	138	960	960	960	1	2	4	5	6	8	1	1	10	fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2	golem2	darkguard3	zombie2	skeleton4	fallenboss4																																fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2	golem2	darkguard3	zombie2	skeleton4	fallenboss4											fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2																		0	8	255	Jail Level 3	To The Jail Level 3	A1L32	51	15	3	0	0	0	0	0	15	50	55	0	0	0	0	0	1
